intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,30,9.2e-05,0,0.0
低意愿,2,78,0.000238,0,0.0
低意愿,3,618,0.001889,1,0.001618
低意愿,4,1863,0.005694,0,0.0
低意愿,5,4340,0.013264,3,0.000691
低意愿,6,48913,0.149487,95,0.001942
低意愿,7,53227,0.162672,108,0.002029
中意愿,1,243,0.000743,0,0.0
中意愿,2,1347,0.004117,5,0.003712
中意愿,3,4835,0.014777,25,0.005171
中意愿,4,5751,0.017576,27,0.004695
中意愿,5,17132,0.052359,86,0.00502
中意愿,6,60632,0.185303,338,0.005575
中意愿,7,19127,0.058456,147,0.007685
高意愿,1,4938,0.015091,434,0.08789
高意愿,2,11954,0.036534,839,0.070186
高意愿,3,17571,0.0537,1043,0.059359
高意愿,4,11436,0.034951,576,0.050367
高意愿,5,25012,0.076441,1317,0.052655
高意愿,6,33457,0.102251,2244,0.067071
高意愿,7,4701,0.014367,549,0.116784
