intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,148,0,0.0
低意愿,2,334,0,0.0
低意愿,3,1782,0,0.0
低意愿,4,3564,0,0.0
低意愿,5,10049,1,0.0001
低意愿,6,80142,1,1.2e-05
低意愿,7,67229,0,0.0
中意愿,1,4003,0,0.0
中意愿,2,12971,11,0.000848
中意愿,3,23314,14,0.0006
中意愿,4,18821,13,0.000691
中意愿,5,34510,12,0.000348
中意愿,6,60890,13,0.000213
中意愿,7,8738,1,0.000114
高意愿,1,7320,63,0.008607
高意愿,2,24092,342,0.014196
高意愿,3,34992,477,0.013632
高意愿,4,40775,572,0.014028
高意愿,5,9621,115,0.011953
高意愿,6,36824,431,0.011704
高意愿,7,9624,86,0.008936
