model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v6,1,24659,7,0.000283872014274707
1,gcard_v6,2,11472,6,0.0005230125523012552
1,gcard_v6,3,5368,8,0.0014903129657228018
1,gcard_v6,4,3473,5,0.0014396775122372588
1,gcard_v6,5,2621,9,0.0034338038916444107
1,gcard_v6,6,1306,13,0.009954058192955589
1,gcard_v6,7,76,2,0.02631578947368421
2,gcard_v6,1,12893,9,0.0006980532071666796
2,gcard_v6,2,14443,12,0.0008308523160008308
2,gcard_v6,3,8909,16,0.0017959366932315637
2,gcard_v6,4,6003,15,0.0024987506246876563
2,gcard_v6,5,4318,22,0.005094951366373321
2,gcard_v6,6,2110,20,0.009478672985781991
2,gcard_v6,7,298,4,0.013422818791946308
3,gcard_v6,1,6880,6,0.0008720930232558139
3,gcard_v6,2,11720,18,0.0015358361774744026
3,gcard_v6,3,11686,23,0.001968167037480746
3,gcard_v6,4,8963,22,0.0024545353118375544
3,gcard_v6,5,6288,43,0.006838422391857507
3,gcard_v6,6,2894,37,0.012785072563925363
3,gcard_v6,7,543,10,0.01841620626151013
4,gcard_v6,1,3560,8,0.0022471910112359553
4,gcard_v6,2,7247,19,0.0026217745273906445
4,gcard_v6,3,11334,31,0.0027351332274572083
4,gcard_v6,4,12810,55,0.00429352068696331
4,gcard_v6,5,9079,49,0.005397070161912105
4,gcard_v6,6,4172,82,0.019654841802492808
4,gcard_v6,7,772,22,0.02849740932642487
5,gcard_v6,1,923,4,0.004333694474539545
5,gcard_v6,2,3719,18,0.004840010755579457
5,gcard_v6,3,9731,42,0.0043161031754187645
5,gcard_v6,4,13117,95,0.007242509720210414
5,gcard_v6,5,12926,139,0.010753520037134458
5,gcard_v6,6,7198,145,0.020144484579049736
5,gcard_v6,7,1361,47,0.034533431300514325
6,gcard_v6,1,60,1,0.016666666666666666
6,gcard_v6,2,373,4,0.010723860589812333
6,gcard_v6,3,1941,48,0.02472952086553323
6,gcard_v6,4,4594,84,0.01828471919895516
6,gcard_v6,5,13322,269,0.020192163338838012
6,gcard_v6,6,22212,577,0.02597694939672249
6,gcard_v6,7,6441,265,0.041142679708119856
6,gcard_v6,8,31,6,0.1935483870967742
7,gcard_v6,3,5,1,0.2
7,gcard_v6,4,14,4,0.2857142857142857
7,gcard_v6,5,412,42,0.10194174757281553
7,gcard_v6,6,8945,518,0.05790944661822247
7,gcard_v6,7,30962,2364,0.07635165686971127
7,gcard_v6,8,8465,922,0.1089190785587714
7,gcard_v6,9,171,26,0.15204678362573099
8,gcard_v6,5,8,0,0.0
8,gcard_v6,6,134,29,0.21641791044776118
8,gcard_v6,7,8334,1514,0.181665466762659
8,gcard_v6,8,32387,6443,0.19893784543180906
8,gcard_v6,9,8060,1803,0.223697270471464
8,gcard_v6,10,51,10,0.19607843137254902
9,gcard_v6,5,1,0,0.0
9,gcard_v6,6,3,1,0.3333333333333333
9,gcard_v6,7,180,69,0.38333333333333336
9,gcard_v6,8,7997,3224,0.4031511816931349
9,gcard_v6,9,35139,15639,0.4450610432852386
9,gcard_v6,10,5654,2569,0.45436858860983376
10,gcard_v6,7,7,3,0.42857142857142855
10,gcard_v6,8,94,59,0.6276595744680851
10,gcard_v6,9,5604,3957,0.7061027837259101
10,gcard_v6,10,43270,35245,0.814536630459903
