decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32720,0.10000122250883263,24,0.0007334963325183374,24,0.0007334963325183374,0.030623588875165232,7813,0.026531873565248103,1.1077099531778638
2,32720,0.10000122250883263,49,0.001497555012224939,73,0.0011155256723716382,0.046573374747647125,7764,0.029661211204327693,1.238360298738191
3,32719,0.09999816623675106,71,0.002169992970445307,144,0.0014670076101019774,0.06124780170919058,7693,0.033588459506542614,1.4023235417510165
4,32720,0.10000122250883263,101,0.00308679706601467,245,0.0018719580681392737,0.07815454792176825,7592,0.038672147598017494,1.6145683304173704
5,32719,0.09999816623675106,165,0.005042941410189798,410,0.002506143106883947,0.10463187444175066,7427,0.045397865499578235,1.8953681255582493
6,32720,0.10000122250883263,235,0.007182151589242054,645,0.0032854857934575534,0.13716955591120805,7192,0.054951939974632866,2.29425225876483
7,32719,0.09999816623675106,409,0.012500382041015924,1054,0.004601876552696726,0.19212908007351764,6783,0.0691021709675119,2.8850266596766647
8,32720,0.10000122250883263,688,0.021026894865525673,1742,0.006655027372715916,0.2778484542864817,6095,0.09314017634743807,3.8886172183458396
9,32719,0.09999816623675106,1272,0.03887649378037226,3014,0.010235129518195031,0.4273182898858417,4823,0.14740220048899755,6.1540653810384125
10,32720,0.10000122250883263,4823,0.14740220048899755,7837,0.023952004303231092,1.0,0,0.0,0.0
