decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,26,0.0007945967421533572,26,0.0007945967421533572,0.033175453236734626,7811,0.02652436125562,1.1074267735925918
2,32720,0.09999847190599166,53,0.001619804400977995,79,0.0012071942665912807,0.05040193951767258,7758,0.029637383291820113,1.2373995151205819
3,32721,0.10000152809400835,69,0.002108737508022371,148,0.0015077117418145515,0.06294893715457833,7689,0.03357011565513899,1.4015962349036306
4,32720,0.09999847190599166,92,0.0028117359413202935,240,0.0018337128100120719,0.07655990812811024,7597,0.03869643393794919,1.615626727914593
5,32721,0.10000152809400835,143,0.004370282081843465,383,0.0023410328661454863,0.09774118399478549,7454,0.04556179019816384,1.9022643309672322
6,32720,0.09999847190599166,193,0.0058985330073349634,576,0.002933940496019315,0.1224958530049764,7261,0.05547745297290689,2.3162562204925354
7,32720,0.09999847190599166,292,0.008924205378973106,868,0.0037896814135337034,0.15822415553340508,6969,0.07099488600476762,2.964129344799029
8,32721,0.10000152809400835,500,0.015280706579872252,1368,0.005226081508534405,0.21819573816511423,6469,0.09885240139973411,4.127217047339544
9,32720,0.09999847190599166,1022,0.03123471882640587,2390,0.008115890846361771,0.3388490575965042,5447,0.16646801748112833,6.950257453095904
10,32721,0.10000152809400835,5447,0.16646801748112833,7837,0.023951345486774345,1.0,0,0.0,0.0
