split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.024669
DEV,ks,gcard_v2,0.051777
DEV,auc,gcard_v4,0.029001
DEV,ks,gcard_v4,0.057642
DEV,auc,gcard_v5,0.027506
DEV,ks,gcard_v5,0.056146
DEV,auc,gcard_v6,0.017149
DEV,ks,gcard_v6,0.035006
DEV-OOS,auc,gcard_v2,0.006991
DEV-OOS,ks,gcard_v2,0.015563
DEV-OOS,auc,gcard_v4,0.011438
DEV-OOS,ks,gcard_v4,0.025509
DEV-OOS,auc,gcard_v5,0.009673
DEV-OOS,ks,gcard_v5,0.018791
DEV-OOS,auc,gcard_v6,-0.00064
DEV-OOS,ks,gcard_v6,-0.000302
OOT,auc,gcard_v2,0.005923
OOT,ks,gcard_v2,0.014298
OOT,auc,gcard_v4,0.01134
OOT,ks,gcard_v4,0.022119
OOT,auc,gcard_v5,0.006839
OOT,ks,gcard_v5,0.017078
OOT,auc,gcard_v6,-0.001372
OOT,ks,gcard_v6,-0.001958
OOT-OOS,auc,gcard_v2,0.00869
OOT-OOS,ks,gcard_v2,0.01939
OOT-OOS,auc,gcard_v4,0.012719
OOT-OOS,ks,gcard_v4,0.031675
OOT-OOS,auc,gcard_v5,0.009524
OOT-OOS,ks,gcard_v5,0.027068
OOT-OOS,auc,gcard_v6,0.00029
OOT-OOS,ks,gcard_v6,0.003707
