intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1666,0.01025,200,0.120048
低意愿,2,7727,0.04754,861,0.111427
低意愿,3,14357,0.08833,1713,0.119315
低意愿,4,15830,0.097393,1937,0.122363
低意愿,5,2597,0.015978,334,0.12861
低意愿,6,10585,0.065123,1384,0.130751
低意愿,7,1417,0.008718,161,0.11362
中意愿,1,2417,0.01487,832,0.344228
中意愿,2,8257,0.0508,2955,0.357878
中意愿,3,11550,0.07106,4172,0.361212
中意愿,4,13974,0.085974,5289,0.378489
中意愿,5,2596,0.015972,984,0.379045
中意愿,6,12261,0.075435,4726,0.38545
中意愿,7,3124,0.01922,1174,0.3758
高意愿,1,2177,0.013394,1655,0.76022
高意愿,2,8034,0.049428,6327,0.787528
高意愿,3,11157,0.068642,8660,0.776194
高意愿,4,14306,0.088016,11208,0.783448
高意愿,5,2503,0.015399,1938,0.774271
高意愿,6,12008,0.073878,9293,0.773901
高意愿,7,3995,0.024579,3119,0.780726
