model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v4,1,16430,15,0.0009129640900791236
1,gcard_v4,2,6808,14,0.002056404230317274
1,gcard_v4,3,11818,10,0.0008461668641056016
1,gcard_v4,4,4826,4,0.0008288437629506838
1,gcard_v4,5,8040,9,0.001119402985074627
1,gcard_v4,6,1052,4,0.0038022813688212928
2,gcard_v4,1,14437,33,0.0022857934473921176
2,gcard_v4,2,5080,14,0.0027559055118110236
2,gcard_v4,3,8594,10,0.0011636025133814289
2,gcard_v4,4,7791,11,0.0014118855089205495
2,gcard_v4,5,9578,15,0.0015660889538525787
2,gcard_v4,6,3493,8,0.002290294875465216
3,gcard_v4,1,12561,42,0.0033436828278003345
3,gcard_v4,2,4546,19,0.004179498460184778
3,gcard_v4,3,9117,34,0.0037292969178457825
3,gcard_v4,4,9408,28,0.002976190476190476
3,gcard_v4,5,8194,34,0.004149377593360996
3,gcard_v4,6,5129,14,0.002729576915578085
3,gcard_v4,7,18,2,0.1111111111111111
4,gcard_v4,1,11100,52,0.0046846846846846845
4,gcard_v4,2,4029,23,0.0057086125589476296
4,gcard_v4,3,9235,48,0.0051976177585273415
4,gcard_v4,4,10248,58,0.005659640905542545
4,gcard_v4,5,7627,45,0.005900091779205454
4,gcard_v4,6,5832,41,0.007030178326474623
4,gcard_v4,7,903,3,0.0033222591362126247
5,gcard_v4,1,6452,57,0.008834469931804092
5,gcard_v4,2,6206,55,0.008862391234289398
5,gcard_v4,3,7450,82,0.011006711409395973
5,gcard_v4,4,9668,95,0.009826230864708315
5,gcard_v4,5,8131,86,0.01057680482105522
5,gcard_v4,6,6686,74,0.011067903081064912
5,gcard_v4,7,4374,38,0.008687700045724738
5,gcard_v4,8,6,0,0.0
6,gcard_v4,1,3434,85,0.024752475247524754
6,gcard_v4,2,5509,132,0.023960791432201853
6,gcard_v4,3,2370,65,0.027426160337552744
6,gcard_v4,4,6153,148,0.024053307329757842
6,gcard_v4,5,5828,172,0.029512697323266987
6,gcard_v4,6,13462,331,0.02458772842073986
6,gcard_v4,7,11432,277,0.024230230930720784
6,gcard_v4,8,775,18,0.023225806451612905
6,gcard_v4,9,10,0,0.0
7,gcard_v4,1,917,58,0.06324972737186478
7,gcard_v4,2,480,40,0.08333333333333333
7,gcard_v4,3,288,30,0.10416666666666667
7,gcard_v4,4,965,91,0.09430051813471503
7,gcard_v4,5,1430,131,0.09160839160839161
7,gcard_v4,6,11269,906,0.08039755080308812
7,gcard_v4,7,21851,1727,0.07903528442634204
7,gcard_v4,8,11132,959,0.08614804168163852
7,gcard_v4,9,624,47,0.07532051282051282
7,gcard_v4,10,18,0,0.0
8,gcard_v4,1,51,12,0.23529411764705882
8,gcard_v4,2,20,6,0.3
8,gcard_v4,3,1,0,0.0
8,gcard_v4,4,34,10,0.29411764705882354
8,gcard_v4,5,67,23,0.34328358208955223
8,gcard_v4,6,1849,454,0.24553812871822606
8,gcard_v4,7,8470,1747,0.2062573789846517
8,gcard_v4,8,29493,5919,0.20069168955345337
8,gcard_v4,9,8853,1776,0.20060996272450016
8,gcard_v4,10,135,21,0.15555555555555556
9,gcard_v4,2,1,0,0.0
9,gcard_v4,4,1,1,1.0
9,gcard_v4,5,4,3,0.75
9,gcard_v4,6,139,66,0.4748201438848921
9,gcard_v4,7,1817,803,0.44193725921849203
9,gcard_v4,8,7133,3050,0.4275900743025375
9,gcard_v4,9,33444,14649,0.4380157875852171
9,gcard_v4,10,6434,2862,0.44482437053155116
10,gcard_v4,6,2,1,0.5
10,gcard_v4,7,109,84,0.7706422018348624
10,gcard_v4,8,434,296,0.6820276497695853
10,gcard_v4,9,6042,4342,0.7186362131744456
10,gcard_v4,10,42387,34340,0.8101540566683181
