decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,56,0.0011434405308831037,56,0.0011434405308831037,0.00729545715702763,76703,0.17402125381152897,1.1103022564835345
2,48974,0.09999938743381732,91,0.0018581288030383469,147,0.0015007810186934017,0.009575385276488263,76612,0.19554153458194867,1.2476074176418046
3,48974,0.09999938743381732,173,0.0035324866255564175,320,0.002178011611524404,0.013896298032319288,76439,0.222971238550843,1.422616283192922
4,48974,0.09999938743381732,270,0.005513129415608282,590,0.003011786806331899,0.01921600732022829,76169,0.25921401005969114,1.6538548825370747
5,48975,0.1000014293210929,487,0.009943848902501277,1077,0.004398216210918357,0.02806179863968771,75682,0.30906885666330436,1.971942170544909
6,48974,0.09999938743381732,1228,0.025074529342099888,2305,0.007844244944630862,0.05004838588202493,74454,0.3800670760654834,2.4249298457970796
7,48974,0.09999938743381732,3988,0.08143096336831789,6293,0.018356571961962546,0.11711985073238869,70466,0.47961176943024575,3.0600516785794087
8,48974,0.09999938743381732,9969,0.20355698942295913,16262,0.04150650596997402,0.2648226364758919,60497,0.6176377502577872,3.940694442664697
9,48974,0.09999938743381732,21434,0.43766079960795523,37696,0.08552344997821984,0.5456625407142266,39063,0.7976110260336906,5.088972195088755
10,48975,0.1000014293210929,39063,0.7976110260336906,76759,0.15673322538555937,1.0,0,0.0,0.0
