decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,20,0.0006112282631948902,20,0.0006112282631948902,0.02551957941287279,7817,0.026544735876991618,1.1082774406827922
2,32720,0.09999847190599166,62,0.0018948655256723717,82,0.0012530370868415826,0.05231593722087534,7755,0.029625922586757537,1.2369210156947812
3,32721,0.10000152809400835,65,0.001986491855383393,147,0.0014975245003158045,0.06252360649812846,7690,0.0335744816475509,1.4017785207971025
4,32720,0.09999847190599166,106,0.00323960880195599,253,0.0019330389205543925,0.08070690315171622,7584,0.03863021653092098,1.6128620645655225
5,32721,0.10000152809400835,148,0.004523089147642187,401,0.0024510552984969712,0.10233476444362657,7436,0.04545176709331182,1.8976707224406144
6,32720,0.09999847190599166,192,0.0058679706601467,593,0.003020532489825441,0.12611118199991495,7244,0.05534756498219771,2.3108332270001277
7,32720,0.09999847190599166,301,0.009199266503667482,894,0.0039031972162432383,0.16296358876366834,6943,0.0707300177258002,2.953070747731333
8,32721,0.10000152809400835,481,0.014700039729837107,1375,0.005252823153680414,0.2193122368253158,6462,0.09874543481915007,4.122751052698737
9,32720,0.09999847190599166,1000,0.030562347188264057,2375,0.008064954292932722,0.3367223898710031,5462,0.1669264386785245,6.969397137655558
10,32721,0.10000152809400835,5462,0.1669264386785245,7837,0.023951345486774345,1.0,0,0.0,0.0
