decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1125,0.06921373200442968,1125,0.06921373200442968,0.16322598840045255,67797,0.4634614858767876,1.0929761613337003
2,16254,0.1000012304814874,2117,0.13024486280300235,3242,0.09972929740371601,0.23519051306411876,65680,0.5051142044143659,1.1912053126302518
3,16254,0.1000012304814874,3028,0.18629260489725605,6270,0.12858373323489602,0.30323761400617405,62652,0.5506609478273098,1.2986177002692214
4,16253,0.09999507807405038,4169,0.25650649110933366,10439,0.16056294701222795,0.37865384465734464,58483,0.5996841770659229,1.414228646469066
5,16254,0.1000012304814874,5398,0.3321028669865879,15837,0.1948713531604917,0.45956298424305736,53085,0.6532010975894867,1.5404370157569425
6,16254,0.1000012304814874,6949,0.427525532176695,22786,0.2336474472688494,0.5510082235597377,46136,0.7096208567253711,1.6734911176464462
7,16253,0.09999507807405038,8519,0.5241493878053283,31305,0.2751459007171987,0.6488735731808717,37617,0.7714408760920389,1.8192805942695776
8,16254,0.1000012304814874,10434,0.6419342930970838,41739,0.320995154964239,0.7569993688165968,27183,0.8361941675895165,1.9719875745286675
9,16254,0.1000012304814874,12438,0.7652270210409745,54177,0.3703549260342895,0.8734039779426213,14745,0.9071613141380583,2.1393486213019313
10,16254,0.1000012304814874,14745,0.9071613141380583,68922,0.42403622537498925,1.0,0,0.0,0.0
