intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,11,3.4e-05,0,0.0
低意愿,2,81,0.000248,0,0.0
低意愿,3,621,0.001898,2,0.003221
低意愿,4,1727,0.005278,0,0.0
低意愿,5,4126,0.01261,5,0.001212
低意愿,6,48682,0.148781,82,0.001684
低意愿,7,53821,0.164487,97,0.001802
中意愿,1,264,0.000807,0,0.0
中意愿,2,1413,0.004318,8,0.005662
中意愿,3,4889,0.014942,22,0.0045
中意愿,4,6017,0.018389,24,0.003989
中意愿,5,17514,0.053526,76,0.004339
中意愿,6,60535,0.185006,325,0.005369
中意愿,7,18435,0.056341,147,0.007974
高意愿,1,4936,0.015085,434,0.087925
高意愿,2,11885,0.036323,836,0.070341
高意愿,3,17514,0.053526,1045,0.059667
高意愿,4,11306,0.034553,579,0.051212
高意愿,5,24844,0.075928,1325,0.053333
高意愿,6,33785,0.103253,2270,0.06719
高意愿,7,4799,0.014667,560,0.116691
