intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1665,0.010244,205,0.123123
低意愿,2,7761,0.047749,879,0.113259
低意愿,3,14349,0.088281,1745,0.121611
低意愿,4,15876,0.097676,2010,0.126606
低意愿,5,2606,0.016033,350,0.134305
低意愿,6,10544,0.064871,1405,0.133251
低意愿,7,1378,0.008478,160,0.11611
中意愿,1,2414,0.014852,830,0.343828
中意愿,2,8190,0.050388,2972,0.362882
中意愿,3,11573,0.071202,4180,0.361186
中意愿,4,13986,0.086048,5311,0.379737
中意愿,5,2604,0.016021,990,0.380184
中意愿,6,12285,0.075582,4760,0.387464
中意愿,7,3127,0.019239,1181,0.377678
高意愿,1,2181,0.013418,1652,0.757451
高意愿,2,8067,0.049631,6292,0.779968
高意愿,3,11142,0.06855,8620,0.773649
高意愿,4,14248,0.08766,11113,0.779969
高意愿,5,2486,0.015295,1916,0.770716
高意愿,6,12025,0.073983,9238,0.768233
高意愿,7,4031,0.0248,3113,0.772265
