intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1665,3,0.001802
低意愿,2,7761,15,0.001933
低意愿,3,14349,31,0.00216
低意愿,4,15876,41,0.002583
低意愿,5,2606,12,0.004605
低意愿,6,10544,24,0.002276
低意愿,7,1378,1,0.000726
中意愿,1,2414,15,0.006214
中意愿,2,8190,67,0.008181
中意愿,3,11573,107,0.009246
中意愿,4,13986,102,0.007293
中意愿,5,2604,18,0.006912
中意愿,6,12285,114,0.00928
中意愿,7,3127,17,0.005437
高意愿,1,2181,40,0.01834
高意愿,2,8067,259,0.032106
高意愿,3,11142,338,0.030336
高意愿,4,14248,438,0.030741
高意愿,5,2486,81,0.032582
高意愿,6,12025,289,0.024033
高意愿,7,4031,67,0.016621
