segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate
老户,DEV-OOS,model_score,低意愿,1,647,742210.22,23979.89,0.03230875748382985
老户,DEV-OOS,model_score,低意愿,2,3182,2543523.76,21903.910000000003,0.008611639625493417
老户,DEV-OOS,model_score,低意愿,3,5162,2093336.6800000002,82780.8,0.03954490493139402
老户,DEV-OOS,model_score,低意愿,4,5832,1516065.17,54780.61,0.0361334137107048
老户,DEV-OOS,model_score,低意愿,5,785,212383.33000000002,2899.6100000000006,0.013652719354197904
老户,DEV-OOS,model_score,低意愿,6,3017,393124.42000000004,14033.14,0.03569643422303809
老户,DEV-OOS,model_score,低意愿,7,615,16728.01,0.0,0.0
老户,DEV-OOS,model_score,低意愿,合计,19240,7517371.59,200377.96000000002,0.026655321956753242
老户,DEV-OOS,model_score,中意愿,1,815,2953183.81,63020.990000000005,0.02134001608250724
老户,DEV-OOS,model_score,中意愿,2,2970,5641262.950000001,128417.26000000002,0.022763920267180597
老户,DEV-OOS,model_score,中意愿,3,3686,3659790.42,151696.0,0.041449368021461735
老户,DEV-OOS,model_score,中意愿,4,5010,2707686.24,120985.23000000001,0.04468214529908015
老户,DEV-OOS,model_score,中意愿,5,893,386790.87,9766.310000000001,0.02524958771648359
老户,DEV-OOS,model_score,中意愿,6,4377,1395215.7400000002,70238.63,0.050342486818561835
老户,DEV-OOS,model_score,中意愿,7,1489,220436.04,19257.24,0.08735976204254078
老户,DEV-OOS,model_score,中意愿,合计,19240,16964366.07,563381.66,0.03320970896733308
老户,DEV-OOS,model_score,高意愿,1,731,7226583.29,230831.46000000002,0.03194199122003062
老户,DEV-OOS,model_score,高意愿,2,2611,15724685.82,581800.25,0.03699916530351383
老户,DEV-OOS,model_score,高意愿,3,3632,10272563.96,527264.97,0.05132749448463886
老户,DEV-OOS,model_score,高意愿,4,5126,9008146.469999999,526471.98,0.058443985314106474
老户,DEV-OOS,model_score,高意愿,5,864,860482.88,84582.69,0.09829677262143786
老户,DEV-OOS,model_score,高意愿,6,4554,3713176.81,343539.68999999994,0.0925190766770947
老户,DEV-OOS,model_score,高意愿,7,1722,627741.96,25678.47,0.0409060914137395
老户,DEV-OOS,model_score,高意愿,合计,19240,47433381.19,2320169.51,0.04891427622893437
老户,DEV-OOS,model_score,合计,1,2193,10921977.32,317832.34,0.029100256362737074
老户,DEV-OOS,model_score,合计,2,8763,23909472.53,732121.42,0.030620559239915614
老户,DEV-OOS,model_score,合计,3,12480,16025691.059999999,761741.77,0.04753253804457155
老户,DEV-OOS,model_score,合计,4,15968,13231897.879999999,702237.8200000001,0.05307158703676453
老户,DEV-OOS,model_score,合计,5,2542,1459657.08,97248.61000000002,0.06662428547943604
老户,DEV-OOS,model_score,合计,6,11948,5501516.97,427811.46,0.0777624539436802
老户,DEV-OOS,model_score,合计,7,3826,864906.0100000001,44935.71000000001,0.051954443003581395
老户,DEV-OOS,model_score,合计,合计,57720,71915118.85,3083929.1300000004,0.0428829038916342
流失户,DEV-OOS,model_score,低意愿,1,3,0.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,2,31,0.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,3,232,22058.91,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,4,614,0.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,5,1461,3000.0,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,6,17402,53630.51,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,7,19522,80952.06,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,合计,39265,159641.47999999998,0.0,0.0
流失户,DEV-OOS,model_score,中意愿,1,108,0.0,0.0,0.0
流失户,DEV-OOS,model_score,中意愿,2,529,1882.01,0.0,0.0
流失户,DEV-OOS,model_score,中意愿,3,1749,86920.25,1440.92,0.016577494887554972
流失户,DEV-OOS,model_score,中意愿,4,2085,8455.76,0.0,0.0
