segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct
老户,DEV-OOS,model_score,低意愿,1,647,0.011209286209286209
老户,DEV-OOS,model_score,低意愿,2,3182,0.05512820512820513
老户,DEV-OOS,model_score,低意愿,3,5162,0.08943173943173943
老户,DEV-OOS,model_score,低意愿,4,5832,0.10103950103950105
老户,DEV-OOS,model_score,低意愿,5,785,0.0136001386001386
老户,DEV-OOS,model_score,低意愿,6,3017,0.05226957726957727
老户,DEV-OOS,model_score,低意愿,7,615,0.010654885654885655
老户,DEV-OOS,model_score,低意愿,合计,19240,0.3333333333333333
老户,DEV-OOS,model_score,中意愿,1,815,0.01411988911988912
老户,DEV-OOS,model_score,中意愿,2,2970,0.05145530145530146
老户,DEV-OOS,model_score,中意愿,3,3686,0.06386001386001386
老户,DEV-OOS,model_score,中意愿,4,5010,0.0867983367983368
老户,DEV-OOS,model_score,中意愿,5,893,0.015471240471240471
老户,DEV-OOS,model_score,中意愿,6,4377,0.07583160083160083
老户,DEV-OOS,model_score,中意愿,7,1489,0.025796950796950796
老户,DEV-OOS,model_score,中意愿,合计,19240,0.3333333333333333
老户,DEV-OOS,model_score,高意愿,1,731,0.012664587664587664
老户,DEV-OOS,model_score,高意愿,2,2611,0.045235620235620236
老户,DEV-OOS,model_score,高意愿,3,3632,0.06292446292446292
老户,DEV-OOS,model_score,高意愿,4,5126,0.08880803880803881
老户,DEV-OOS,model_score,高意愿,5,864,0.01496881496881497
老户,DEV-OOS,model_score,高意愿,6,4554,0.0788981288981289
老户,DEV-OOS,model_score,高意愿,7,1722,0.029833679833679835
老户,DEV-OOS,model_score,高意愿,合计,19240,0.3333333333333333
老户,DEV-OOS,model_score,合计,1,2193,0.037993762993762996
老户,DEV-OOS,model_score,合计,2,8763,0.15181912681912682
老户,DEV-OOS,model_score,合计,3,12480,0.21621621621621623
老户,DEV-OOS,model_score,合计,4,15968,0.27664587664587664
老户,DEV-OOS,model_score,合计,5,2542,0.04404019404019404
老户,DEV-OOS,model_score,合计,6,11948,0.206999306999307
老户,DEV-OOS,model_score,合计,7,3826,0.06628551628551628
老户,DEV-OOS,model_score,合计,合计,57720,1.0
流失户,DEV-OOS,model_score,低意愿,1,3,2.5467974022666496e-05
流失户,DEV-OOS,model_score,低意愿,2,31,0.00026316906490088713
流失户,DEV-OOS,model_score,低意愿,3,232,0.0019695233244195424
流失户,DEV-OOS,model_score,低意愿,4,614,0.00521244534997241
流失户,DEV-OOS,model_score,低意愿,5,1461,0.012402903349038584
流失户,DEV-OOS,model_score,低意愿,6,17402,0.14773122798081412
流失户,DEV-OOS,model_score,低意愿,7,19522,0.16572859629016512
流失户,DEV-OOS,model_score,低意愿,合计,39265,0.3333333333333333
流失户,DEV-OOS,model_score,中意愿,1,108,0.0009168470648159939
流失户,DEV-OOS,model_score,中意愿,2,529,0.004490852752663525
流失户,DEV-OOS,model_score,中意愿,3,1749,0.014847828855214568
流失户,DEV-OOS,model_score,中意愿,4,2085,0.017700241945753214
流失户,DEV-OOS,model_score,中意愿,5,6465,0.0548834840188463
流失户,DEV-OOS,model_score,中意愿,6,21609,0.1834458168852668
流失户,DEV-OOS,model_score,中意愿,7,6720,0.05704826181077295
流失户,DEV-OOS,model_score,中意愿,合计,39265,0.3333333333333333
流失户,DEV-OOS,model_score,高意愿,1,1787,0.01517042319283501
流失户,DEV-OOS,model_score,高意愿,2,4225,0.03586739674858865
流失户,DEV-OOS,model_score,高意愿,3,6299,0.053474256122925425
流失户,DEV-OOS,model_score,高意愿,4,4053,0.034407232904622435
流失户,DEV-OOS,model_score,高意愿,5,8883,0.0754106710811155
流失户,DEV-OOS,model_score,高意愿,6,12164,0.10326414533723842
流失户,DEV-OOS,model_score,高意愿,7,1854,0.015739207946007895
流失户,DEV-OOS,model_score,高意愿,合计,39265,0.3333333333333333
流失户,DEV-OOS,model_score,合计,1,1898,0.01611273823167367
流失户,DEV-OOS,model_score,合计,2,4785,0.04062141856615306
流失户,DEV-OOS,model_score,合计,3,8280,0.07029160830255952
流失户,DEV-OOS,model_score,合计,4,6752,0.05731992020034806
流失户,DEV-OOS,model_score,合计,5,16809,0.14269705844900038
流失户,DEV-OOS,model_score,合计,6,51175,0.43444119020331934
流失户,DEV-OOS,model_score,合计,7,28096,0.23851606604694597
流失户,DEV-OOS,model_score,合计,合计,117795,1.0
