segment,final_flag,score_version,intent_level,zc_level,n_samples,bad,ftr_30d_rate
老户,DEV-OOS,model_score,低意愿,1,647,102.0,0.15765069551777433
老户,DEV-OOS,model_score,低意愿,2,3182,448.0,0.14079195474544312
老户,DEV-OOS,model_score,低意愿,3,5162,732.0,0.14180550174351025
老户,DEV-OOS,model_score,低意愿,4,5832,875.0,0.15003429355281206
老户,DEV-OOS,model_score,低意愿,5,785,118.0,0.1503184713375796
老户,DEV-OOS,model_score,低意愿,6,3017,477.0,0.15810407689758038
老户,DEV-OOS,model_score,低意愿,7,615,96.0,0.15609756097560976
老户,DEV-OOS,model_score,低意愿,合计,19240,2848.0,0.14802494802494803
老户,DEV-OOS,model_score,中意愿,1,815,339.0,0.41595092024539876
老户,DEV-OOS,model_score,中意愿,2,2970,1231.0,0.4144781144781145
老户,DEV-OOS,model_score,中意愿,3,3686,1560.0,0.4232230059685296
老户,DEV-OOS,model_score,中意愿,4,5010,2092.0,0.417564870259481
老户,DEV-OOS,model_score,中意愿,5,893,409.0,0.458006718924972
老户,DEV-OOS,model_score,中意愿,6,4377,1986.0,0.4537354352296093
老户,DEV-OOS,model_score,中意愿,7,1489,657.0,0.4412357286769644
老户,DEV-OOS,model_score,中意愿,合计,19240,8274.0,0.43004158004158005
老户,DEV-OOS,model_score,高意愿,1,731,554.0,0.7578659370725034
老户,DEV-OOS,model_score,高意愿,2,2611,2078.0,0.795863653772501
老户,DEV-OOS,model_score,高意愿,3,3632,2879.0,0.7926762114537445
老户,DEV-OOS,model_score,高意愿,4,5126,4129.0,0.8055013655872025
老户,DEV-OOS,model_score,高意愿,5,864,676.0,0.7824074074074074
老户,DEV-OOS,model_score,高意愿,6,4554,3529.0,0.7749231444883619
老户,DEV-OOS,model_score,高意愿,7,1722,1343.0,0.7799070847851336
老户,DEV-OOS,model_score,高意愿,合计,19240,15188.0,0.7893970893970894
老户,DEV-OOS,model_score,合计,1,2193,995.0,0.4537163702690378
老户,DEV-OOS,model_score,合计,2,8763,3757.0,0.4287344516718019
老户,DEV-OOS,model_score,合计,3,12480,5171.0,0.41434294871794874
老户,DEV-OOS,model_score,合计,4,15968,7096.0,0.44438877755511025
老户,DEV-OOS,model_score,合计,5,2542,1203.0,0.473249409913454
老户,DEV-OOS,model_score,合计,6,11948,5992.0,0.5015065282892535
老户,DEV-OOS,model_score,合计,7,3826,2096.0,0.5478306325143754
老户,DEV-OOS,model_score,合计,合计,57720,26310.0,0.45582120582120583
流失户,DEV-OOS,model_score,低意愿,1,3,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,2,31,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,3,232,1.0,0.004310344827586207
流失户,DEV-OOS,model_score,低意愿,4,614,0.0,0.0
流失户,DEV-OOS,model_score,低意愿,5,1461,4.0,0.0027378507871321013
流失户,DEV-OOS,model_score,低意愿,6,17402,38.0,0.002183657050913688
流失户,DEV-OOS,model_score,低意愿,7,19522,47.0,0.0024075402110439502
流失户,DEV-OOS,model_score,低意愿,合计,39265,90.0,0.0022921176620399847
流失户,DEV-OOS,model_score,中意愿,1,108,0.0,0.0
流失户,DEV-OOS,model_score,中意愿,2,529,4.0,0.007561436672967864
流失户,DEV-OOS,model_score,中意愿,3,1749,12.0,0.00686106346483705
流失户,DEV-OOS,model_score,中意愿,4,2085,12.0,0.0057553956834532375
流失户,DEV-OOS,model_score,中意愿,5,6465,40.0,0.006187161639597835
流失户,DEV-OOS,model_score,中意愿,6,21609,149.0,0.006895275116849461
流失户,DEV-OOS,model_score,中意愿,7,6720,56.0,0.008333333333333333
流失户,DEV-OOS,model_score,中意愿,合计,39265,273.0,0.006952756908187954
流失户,DEV-OOS,model_score,高意愿,1,1787,163.0,0.09121432568550644
流失户,DEV-OOS,model_score,高意愿,2,4225,318.0,0.07526627218934911
流失户,DEV-OOS,model_score,高意愿,3,6299,377.0,0.05985076996348627
流失户,DEV-OOS,model_score,高意愿,4,4053,212.0,0.05230693313594868
流失户,DEV-OOS,model_score,高意愿,5,8883,506.0,0.056962737813801644
流失户,DEV-OOS,model_score,高意愿,6,12164,915.0,0.07522196645840185
流失户,DEV-OOS,model_score,高意愿,7,1854,260.0,0.14023732470334413
流失户,DEV-OOS,model_score,高意愿,合计,39265,2751.0,0.07006239653635553
流失户,DEV-OOS,model_score,合计,1,1898,163.0,0.08587987355110643
流失户,DEV-OOS,model_score,合计,2,4785,322.0,0.06729362591431556
流失户,DEV-OOS,model_score,合计,3,8280,390.0,0.04710144927536232
流失户,DEV-OOS,model_score,合计,4,6752,224.0,0.03317535545023697
流失户,DEV-OOS,model_score,合计,5,16809,550.0,0.03272056636325778
流失户,DEV-OOS,model_score,合计,6,51175,1102.0,0.021533952125061064
流失户,DEV-OOS,model_score,合计,7,28096,363.0,0.01291998861047836
流失户,DEV-OOS,model_score,合计,合计,117795,3114.0,0.026435757035527824
