feature,real_gain_mean,null_gain_percentile,null_percentile,null_importance_score,survives
d180_apl_ord_days_cnt,104651.00257380803,0.0,75.0,1.0465100257380803e+17,True
first_day_diff_event_result_1_all,64723.82101682822,0.0,75.0,6.4723821016828216e+16,True
d360_apl_ord_ddf_mdl_ord_crt_dte_min,53814.31513230006,0.0,75.0,5.3814315132300056e+16,True
his_360_day_csh_apl_ord_cnt_his_rto,24036.731571833294,0.0,75.0,2.4036731571833296e+16,True
d30_d60_apl_ord_cnt_rat,11849.2327114741,0.0,75.0,1.18492327114741e+16,True
d180_apl_ord_days_cnt_all,7878.773179372151,0.0,75.0,7878773179372152.0,True
d60_apl_ord_prc_amt_sum,6162.87492275238,0.0,75.0,6162874922752380.0,True
dau_90d,2964.678486188253,0.0,75.0,2964678486188253.0,True
d30_apl_ord_days_cnt,2774.8966957728067,0.0,75.0,2774896695772806.5,True
cnt_avg_ord_span_30d,2617.125273704529,0.0,75.0,2617125273704529.0,True
d180_apl_ord_cnt_all,2609.191459019979,0.0,75.0,2609191459019979.0,True
ddf_lst_app_str_tim_to_mdl_tim_sec,2157.3792197903,0.0,75.0,2157379219790300.0,True
stg_pln_max_prc_amt_12m_ftr,1936.374416033427,0.0,75.0,1936374416033427.0,True
clk_cnt_14d,1842.3454639116924,0.0,75.0,1842345463911692.5,True
ord_apl_avg_prc_amt_720_day_per_mth,1819.221706231435,0.0,75.0,1819221706231435.0,True
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,1794.386916955312,0.0,75.0,1794386916955312.0,True
6m_used_lmt_second_der_min,1687.4873785972595,0.0,75.0,1687487378597259.5,True
pmt_crd_amt_3m,1397.4901795387268,0.0,75.0,1397490179538726.8,True
first_day_diff_event_result_0_event_type_loan_all,1275.6081140041351,0.0,75.0,1275608114004135.2,True
d90_bsy_typ_bt_cash_suc_ord_cnt_all,950.4742387135824,0.0,75.0,950474238713582.4,True
rsk_avl_lmt_ch_les_10000_cnt_12m,948.7528594334921,0.0,75.0,948752859433492.1,True
pst_ord_apl_suc_max_prc_amt_180_day,918.1630630493164,0.0,75.0,918163063049316.4,True
d180_apl_ord_ddf_mdl_ord_crt_dte_max,912.4252400398254,0.0,75.0,912425240039825.5,True
pmt_crd_amt_pmonth_his,722.8974692026774,0.0,75.0,722897469202677.4,True
