feature,gain,split
d180_apl_ord_days_cnt,266671.93259620667,50
d360_apl_ord_ddf_mdl_ord_crt_dte_min,183188.1896085739,100
first_day_diff_event_result_1_all,127139.59433197975,93
his_360_day_csh_apl_ord_cnt_his_rto,61985.65023088455,43
d180_apl_ord_days_cnt_all,25105.585898399353,13
dau_90d,11709.891686439514,93
ord_apl_avg_prc_amt_720_day_per_mth,7727.3789892196655,49
d30_apl_ord_days_cnt,6670.857351303101,47
cnt_avg_ord_span_30d,5370.938101768494,19
ddf_lst_app_str_tim_to_mdl_tim_sec,5236.233919620514,132
6m_used_lmt_second_der_min,4890.730906009674,15
6m_used_lmt_first_der_min,4789.286290645599,13
payment_day_6m,4038.474880695343,8
clk_cnt_14d,3356.9918236732483,47
first_day_diff_event_result_0_event_type_loan_all,3327.5890140533447,60
pst_ord_apl_suc_max_prc_amt_180_day,3240.037010192871,10
rsk_avl_lmt_ch_les_10000_cnt_12m,3158.1312708854675,39
d180_suc_ord_days_cnt_all,3026.5103311538696,4
d180_apl_ord_ddf_mdl_ord_crt_dte_max,2446.92448759079,54
avg_avl_lmt_lft_rep_prc_3m_cash_1m,2166.4164910316467,34
his_30d_app_str_ctn_v2,2024.026225566864,53
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,1901.039484500885,62
min_rsk_lmt_rate_12m_bt_ch,1809.5362856388092,35
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,1449.6613402366638,27
sum_avb_lmt_2m_v2,1441.658329963684,63
m1_stg_pln_d0_rep_apl_cnt,1440.347604751587,7
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,1387.5449857711792,56
rsi_abf_1y_inter_1m,1321.463824748993,20
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1297.5388340950012,29
d30_d60_apl_ord_cnt_rat,1281.6363269090652,5
d60_apl_ord_prc_amt_sum,1265.3876104354858,7
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1227.8942022323608,24
d60_apl_ord_ddf_mdl_ord_crt_dte_max,1128.06893825531,25
ord_apl_fal_cnt_his,1098.50151014328,45
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1070.5153198242188,14
d7_d360_suc_ord_prc_amt_avg_rat_all,1010.1635069847107,41
d180_apl_ord_cnt_all,984.505964756012,9
d30_d360_apl_ord_prc_amt_avg_rat_all,964.4874067306519,9
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,963.8105721473694,12
stg_pln_sum_prc_amt_6m_12m_rto_ftr,881.4143595695496,24
af_6m_trend,833.2166590690613,20
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,830.5896587371826,14
rsk_avl_lmt_ch_les_1000_cnt_3m,826.3205671310425,13
min_rsk_lmt_rate_3m_bt_ch,816.1887979507446,24
max_avl_lmt_lft_rep_prc_1m_cash_3m,792.6697745323181,24
d90_apl_ord_prc_amt_per_stg_sum,788.8348202705383,11
max_amt_other_info_manual_repay,781.8434377908707,36
rsk_avl_lmt_ch_1m_les_500_cnt_3m,780.4059963226318,16
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,752.986147403717,27
ord_apl_min_prc_amt_his,740.9480106830597,28
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,738.3325939178467,17
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,734.0970935821533,16
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,731.6535091400146,12
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,685.2018909454346,8
d15_suc_ord_prc_amt_avg_all,650.7428703308105,28
m1_stg_pln_d0_rep_apl_suc_cnt,645.3784980773926,6
stg_pln_cnt_1m_ftr_his_rep_rto_all,614.9948902130127,16
d90_aplord_suc_month_cnt,597.1483926773071,8
3m_used_lmt_first_der_median,591.069818019867,23
max_ddf_mdl_rep_dte_ftr,579.7370119094849,37
percent_true_followup_code_other_call_mode_manual_30d,571.5182104110718,21
af_q2_q1_trend,570.4871273040771,28
12m_used_lmt_second_der_sum,561.2711217403412,42
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,559.7355976104736,16
ddf_ato_fst_ord_crt_dte,541.8686628341675,40
9m_ftr_con_dsc_repay_amt_max,540.644980430603,8
d365_aplord_suc_month_cnt,520.5753135681152,6
pmt_crd_amt_1m,520.0128130912781,12
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,510.9464947581291,40
d1095_aplord_fal_month_cnt,509.05752658843994,25
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,499.46303129196167,20
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,495.2175540924072,22
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,484.6984906196594,32
d60_apl_ord_prc_amt_avg,484.4020438194275,15
d360_apl_ord_ddf_mdl_ord_crt_dte_max,482.76327180862427,28
first_amt_event_type_credit_all,481.00179719924927,34
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,473.8819875717163,31
rsk_avl_lmt_ch_les_500_cnt_12m,464.8149619102478,9
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,464.2919411659241,25
redu_amt_event_type_repay_loan,453.50075221061707,34
m6_stg_pln_rep_apl_cnt_his_ovd_avg,450.1327004432678,22
n_unique_other_info_event_type_credit,447.5627384185791,14
min_rsk_avl_lmt_12m_bt_ch,436.6562252044678,11
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,402.5358953475952,15
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,401.7050838470459,13
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,391.61630630493164,12
per_event_type_limit_all,388.820680141449,31
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,387.8376064300537,12
stg_pln_cnt_6m_12m_ftr_rto_all,386.947096824646,16
m3_manual_rep_apl_suc_stg_pln_cnt_avg,386.4022274017334,27
d180_d360_apl_ord_cnt_rat,383.40789580345154,23
min_ddf_suc_lag_crt_tim_mnt,379.8227889537811,24
min_amt_event_type_credit_event_result_1,378.23263788223267,19
credit_unique_fund_cnt_1m,372.687123298645,13
ddf_fst_adt_fst_ord_crt_dte_mnt,369.74618911743164,31
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,351.6448826789856,14
credit_reject_cnt_12m,346.1433296203613,30
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,342.7277512550354,26
percent_true_followup_code_wfjt_called_phone_social_relations_family_180d,341.6728105545044,15
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,337.38384199142456,28
m3_rep_apl_stg_pln_cnt_max,332.3799991607666,13
fst_fal_ord_prc_amt,330.39362812042236,29
credit_unique_fund_cnt_3m,328.0918025970459,10
avg_day_diff_shift1_event_type_repay_all,325.53477025032043,34
d30_apl_ord_ddf_mdl_ord_crt_dte_max,322.15265560150146,23
rsk_avl_lmt_ch_1m_les_500_rate_3m,321.9301142692566,19
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,321.69885993003845,19
18ord_apply_amt_first_der_min,318.07194089889526,22
div_amt_event_type_repay_loan,309.80260038375854,26
min_ddf_rep_tim_dte_adv,307.8162202835083,20
6m_repay_amt_first_der_max,307.60370540618896,10
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,304.7968683242798,28
recent_1m_repay_progress_max,304.2996997833252,15
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,302.66629934310913,27
12m_used_lmt_second_der_max,298.4484667778015,25
tot_pending_repay_tot_fee_stddev,295.4777069091797,23
3m_used_lmt_first_der_small_0_sum,294.2689790725708,21
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,292.62939262390137,8
min_ddf_lag_crt_tim_mnt,285.20836114883423,29
d30_d90_suc_ord_cnt_rat,281.23315143585205,10
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,277.68660020828247,21
6ord_apply_amt_second_der_mean_rto,273.0827193260193,25
d180_avl_lmt_shift1_rise_month_cnt,272.43559551239014,10
18m_used_lmt_second_der_min,265.2723169326782,22
18m_used_lmt_second_der_sum,262.02650928497314,25
d180_apl_ord_prc_amt_sum_all,260.6855716705322,14
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,260.2847318649292,19
cnt_event_type_limit_type_heavy_all,259.6034119129181,31
max_ddf_lag_crt_dte,259.0171298980713,24
sum_talk_duration_180d,258.16076946258545,20
succloan_stage_num_mean_all,257.92843890190125,26
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,256.94870710372925,14
lst_app_str_hr,256.78989028930664,23
stg_pln_min_rep_prc_his,253.38793992996216,27
his_7d_app_str_ctn_v2,250.82449913024902,14
d360_apl_ord_stg_num_sum_all,250.60166931152344,9
3m_repay_ftr_amt_second_der_mean_rto,249.00853615999222,26
credit_unique_scene_cnt_12m,248.88993167877197,10
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,246.0235424041748,8
last_day_diff_event_result_0_event_type_loan_all,244.76019096374512,22
3m_repay_amt_first_der_max,242.6860227584839,10
