feature,gain,split
d180_apl_ord_days_cnt,676358.0841460228,128
first_day_diff_event_result_1_all,290729.337198019,240
his_360_day_csh_apl_ord_cnt_his_rto,92684.05786895752,104
d360_apl_ord_ddf_mdl_ord_crt_dte_min,60931.79118692875,278
dau_90d,21174.223275780678,251
pmt_crd_amt_3m,17895.356784403324,64
cnt_avg_ord_span_30d,10471.805251955986,56
d180_apl_ord_days_cnt_all,10305.059737682343,27
d30_apl_ord_days_cnt,10017.118476867676,107
ddf_lst_app_str_tim_to_mdl_tim_sec,9898.319880962372,406
ord_apl_avg_prc_amt_720_day_per_mth,8240.903511404991,114
clk_cnt_14d,7353.64942252636,160
first_day_diff_event_result_0_event_type_loan_all,6360.826803684235,188
d180_apl_ord_ddf_mdl_ord_crt_dte_max,5834.24104142189,145
d30_d60_apl_ord_cnt_rat,4594.550097942352,14
pmt_crd_amt_1m,4509.548325300217,61
rsk_avl_lmt_ch_les_10000_cnt_12m,4431.388780832291,93
his_30d_app_str_ctn_v2,4196.387881755829,150
min_rsk_lmt_rate_12m_bt_ch,3822.7052409648895,85
avg_avl_lmt_lft_rep_prc_3m_cash_1m,3760.585994899273,104
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,3507.2084380984306,203
d180_apl_ord_cnt_all,3474.305332183838,18
pst_ord_apl_suc_max_prc_amt_180_day,3392.277777194977,39
d90_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,2888.3097579479218,54
sum_avb_lmt_2m_v2,2740.3582590818405,162
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,2713.3570833206177,124
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,2680.895578145981,69
his_720_day_csh_apl_ord_cnt_his_rto,2528.9233903884888,34
payment_day_6m,2508.7629195451736,32
6m_used_lmt_first_der_median,2455.448892593384,68
6m_used_lmt_first_der_min,2404.1403753757477,61
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,2312.1442337036133,54
min_rsk_lmt_rate_3m_bt_ch,2297.110106229782,61
d60_apl_ord_prc_amt_sum,2257.7748918533325,26
rsi_abf_1y_inter_1m,2222.235172510147,74
d60_apl_ord_ddf_mdl_ord_crt_dte_max,2134.317247390747,66
ord_apl_fal_cnt_his,2040.3630361557007,122
pmt_crd_amt_pmonth_his,2019.1999459266663,45
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,1861.6903097629547,64
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,1779.614242553711,70
first_amt_event_type_credit_all,1708.0146679878235,139
ddf_ato_fst_ord_crt_dte,1703.3496770858765,152
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,1666.6120154857635,105
d90_bsy_typ_bt_cash_suc_ord_cnt_all,1597.3753819465637,52
d90_apl_ord_prc_amt_per_stg_sum,1532.5220489501953,55
af_6m_trend,1532.184931755066,59
per_event_type_limit_all,1490.2171971201897,146
max_amt_other_info_manual_repay,1435.6411007642746,117
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,1427.1096801571548,120
ddf_fst_adt_fst_ord_crt_dte_mnt,1425.1278840005398,143
d360_apl_ord_ddf_mdl_ord_crt_dte_max,1400.9638803005219,104
d7_d360_suc_ord_prc_amt_avg_rat_all,1394.5111193656921,79
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1386.9089803695679,115
stg_pln_sum_prc_amt_6m_12m_rto_ftr,1381.493395805359,57
12m_used_lmt_second_der_sum,1377.7650818526745,116
min_ddf_lag_crt_tim_mnt,1360.7499945163727,144
ord_apl_min_prc_amt_his,1360.177678346634,103
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,1355.4152297973633,68
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,1343.7633106708527,65
max_ddf_mdl_rep_dte_ftr,1329.638852596283,91
div_amt_event_type_repay_loan,1329.2545952796936,125
max_avl_lmt_lft_rep_prc_1m_cash_3m,1302.9135372638702,71
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,1292.4697761535645,122
d30_apl_ord_days_cnt_all,1278.5475969314575,14
12m_used_lmt_second_der_max,1268.0732071399689,106
min_ddf_suc_lag_crt_tim_mnt,1262.9396378993988,117
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1253.1382303237915,65
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,1243.8459990024567,93
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,1236.0670499801636,63
m1_stg_pln_d0_rep_apl_cnt,1229.795389175415,34
af_q2_q1_trend,1207.5873804092407,77
m1_stg_pln_d0_rep_apl_suc_cnt,1173.4944276809692,11
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,1164.9369683265686,82
d15_suc_ord_prc_amt_avg_all,1160.3405456542969,71
avg_day_diff_shift1_event_type_repay_all,1143.3427881002426,124
min_amt_event_type_credit_event_result_1,1133.029578089714,101
ddf_mdl_max_con_dau_dt_90d,1110.9303517341614,92
rsk_avl_lmt_ch_1m_les_500_cnt_3m,1105.1149139404297,38
stg_pln_cnt_1m_ftr_his_rep_rto_all,1094.6529388427734,52
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1070.1150031089783,40
stg_pln_sum_rep_prc_12m_his_d0_mrn_zd_rto,1067.3513697385788,107
redu_amt_event_type_repay_loan,1062.1999141275883,96
cnt_event_type_limit_type_heavy_all,1054.027124851942,122
min_rsk_avl_lmt_12m_bt_ch,1052.2934393323958,55
rsk_lmt_rate_ch_1m_grt_0p95_rate_36m,1038.4342572689056,96
m6_stg_pln_rep_apl_cnt_his_ovd_avg,1037.2739691734314,61
rsk_avl_lmt_ch_les_1000_cnt_3m,1024.1085748672485,33
3m_used_lmt_first_der_median,1018.8039569854736,64
d180_suc_ord_days_cnt_all,1001.6230444908142,16
stg_pln_cnt_6m_12m_ftr_rto_all,998.8187155723572,46
d60_apl_ord_prc_amt_avg,995.0038228034973,58
d180_d360_apl_ord_cnt_rat,991.8536791801453,60
12m_used_lmt_first_der_mean_diff,984.498854637146,82
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,982.4256207942963,89
18m_used_lmt_second_der_sum,978.0499753952026,92
rsk_avl_lmt_ch_les_500_cnt_12m,964.319100856781,32
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,955.4910885095596,73
d360_apl_ord_prc_amt_min,953.0485112667084,64
percent_true_followup_code_other_call_mode_manual_30d,948.2364797592163,48
fst_fal_ord_prc_amt,948.1055541038513,89
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,940.8776749968529,108
d30_apl_ord_ddf_mdl_ord_crt_dte_max,923.791748046875,71
credit_unique_fund_cnt_1m,921.968906879425,40
max_ddf_lag_crt_dte,921.7336579710245,101
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,918.5953471660614,83
18m_used_lmt_first_der_sum,918.0463781356812,85
stg_pln_sum_rep_prc_his_fst_ord,911.5797826051712,95
6m_repay_amt_second_der_mean_diff,901.5559115111828,79
18stg_pln_repay_amt_second_der_mean_rto,891.5250177383423,87
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,888.7681541442871,75
18m_repay_amt_second_der_mean_diff,885.6918477118015,88
6m_used_lmt_first_der_max,884.005838394165,68
3m_repay_ftr_amt_second_der_mean_rto,872.8896117210388,89
d90_aplord_suc_month_cnt,867.4317798614502,16
max_ddf_rep_tim_dte_adv,865.468656539917,69
d1095_aplord_fal_month_cnt,864.1365342140198,63
succloan_stage_num_mean_all,847.3629696369171,79
m1_manual_rep_apl_suc_amt_sum,844.6190190315247,54
m3_manual_rep_apl_suc_stg_pln_cnt_avg,837.1176201701164,69
6m_used_lmt_first_der_small_0_sum,836.4653611183167,76
last_day_diff_event_result_0_event_type_loan_all,833.2522202432156,92
3m_used_lmt_first_der_small_0_sum,829.3272783756256,64
n_unique_other_info_event_type_credit,829.2679162025452,38
min_amt_channel_hb,826.9048230648041,98
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,825.0094177722931,83
3stg_pln_repay_amt_second_der_mean_rto,812.7603392601013,88
min_ddf_rep_tim_dte_adv,806.9460620880127,57
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,806.8117812871933,69
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,801.310384273529,41
credit_reject_cnt_12m,800.314040184021,77
sum_day_diff_shift1_event_type_loan_all,797.4467651471496,88
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,794.4190053939819,32
d180_apl_ord_prc_amt_avg,790.1032919883728,49
6ord_apply_amt_second_der_mean_rto,789.5858669281006,74
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,783.3897264003754,87
d180_apl_ord_prc_amt_sum_all,778.5215201377869,37
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,778.2930455207825,53
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,774.9915631115437,76
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,770.4644231796265,51
6m_used_lmt_second_der_sum,762.5080423355103,76
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,750.5645709037781,36
6stg_pln_repay_amt_first_der_mean_diff,750.0319501757622,81
18m_repay_amt_first_der_mean_diff,743.2895361110568,76
3m_repay_amt_first_der_max,735.8577915430069,48
stg_pln_max_prc_amt_12m_ftr_his_rep_rto_cash,735.4381170272827,59
ord_apl_sum_prc_amt_13_18,733.3792173862457,77
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,732.529007434845,41
12m_used_lmt_second_der_mean_diff,724.5378792285919,70
6m_repay_amt_first_der_max,724.0294804573059,34
ddf_36m_rep_dte_5_crt_dt_rep_prc_amt_rto,719.2245624065399,67
18m_used_lmt_second_der_min,718.8588274717331,62
18ord_apply_amt_first_der_min,717.3775753974915,56
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,713.8436708450317,59
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,712.7675651311874,77
d360_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,709.7175283432007,42
std_amt_channel_hb,706.277649641037,81
stg_pln_sum_prc_amt_3m_6m_rto_ftr,698.0014717578888,51
avg_avl_lmt_lft_rep_prc_all_cash_24m,686.720721423626,60
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,686.307544708252,34
af_1m_trend,685.7972009181976,64
rsk_avl_lmt_ch_1m_les_500_rate_3m,684.6733121871948,45
stg_pln_min_rep_prc_his,676.5082247853279,71
succloan_day_diff_reud_stage_num_sum_all,674.7781291007996,75
stg_pln_pay_off_max_prc_amt_pday_12m,672.1169953346252,61
18m_used_lmt_second_der_mean_rto,671.3803987503052,70
ddf_fst_lst_ord_crt_dte,671.3272829055786,70
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,671.250864982605,57
12m_repay_amt_first_der_sum,670.4438067376614,66
3m_repay_ftr_amt_first_der_mean_diff,669.44171667099,60
credit_unique_fund_cnt_3m,669.2985711097717,30
m3_manual_rep_apl_suc_amt_avg,667.625146150589,61
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,666.8955826759338,28
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,665.460772395134,72
stg_pln_sum_rep_prc_his_d0_mrn_pk,664.7762794494629,73
max_rsk_lmt_rate_bt_ch_3m,663.7313351631165,59
3stg_pln_repay_amt_first_der_mean_rto,658.4065282344818,71
sum_talk_duration_180d,654.7161617279053,53
12stg_pln_repay_amt_first_der_mean_rto,654.1832909584045,67
12stg_pln_repay_amt_first_der_median,652.8036828041077,73
18m_repay_amt_second_der_median,651.0041689872742,67
stddev_amt_event_type_repay_all,649.5785907506943,70
stg_pln_avg_prc_amt_adv_3d,647.6666802167892,77
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,647.0741496086121,65
d90_apl_ord_prc_amt_avg,646.3933823108673,43
d60_apl_ord_prc_amt_max,645.4581336975098,42
max_ddf_suc_lag_crt_dte,643.7416777610779,72
stg_pln_avg_prc_amt_his_ftr_light,640.9860801696777,49
last_amt_channel_hb_microcredit_lv1_all,640.7184001207352,75
ord_apl_sum_prc_amt_360_day_19_23,638.562262058258,59
6stg_pln_repay_amt_first_der_mean_rto,636.8785526752472,70
3m_used_lmt_first_der_mean_diff,634.9726133346558,57
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,633.6171207427979,59
12m_used_lmt_first_der_min,631.8741992712021,54
3m_repay_amt_first_der_min,630.7569507360458,59
12m_used_lmt_second_der_small_0_sum,629.7655952572823,59
rsi_af_6m_inter_1m,627.3891940116882,60
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,624.3688805103302,57
stg_pln_avg_prc_amt_2m_ftr_his_rep_rto_all,623.161678314209,63
12m_used_lmt_first_der_sum,620.6925420761108,55
18m_repay_amt_first_der_median,620.5750604867935,59
d365_aplord_suc_month_cnt,620.5355186462402,16
6m_repay_ftr_amt_second_der_mean_rto,617.1401913762093,53
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,615.6255787611008,64
6m_used_lmt_second_der_median,612.6505379676819,59
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_v2,612.5469379425049,59
m3_rep_apl_stg_pln_cnt_max,611.0280160903931,34
3m_used_lmt_second_der_sum,609.9961996078491,54
9m_ftr_con_dsc_repay_amt_max,609.3866451978683,20
3ord_apply_amt_second_der_mean_diff,608.1526477336884,61
min_rsk_lmt_rate_bt_ch_3m,606.9318597316742,53
avg_ddf_rep_dte_ord_crt_tim_7,605.3909871578217,65
d360_apl_ord_stg_num_sum_all,602.8902831077576,47
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt,601.8316049575806,56
pst_ord_apl_suc_sum_stg_num_360_day_bjq_12m,598.9621522426605,23
tot_pending_repay_tot_fee_stddev,597.0854105949402,54
6stg_pln_repay_amt_first_der_median,597.0613017082214,66
24stg_pln_repay_amt_second_der_avg,596.1862799525261,66
d60_d360_apl_ord_prc_amt_avg_rat,593.8974738121033,39
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,587.8963623046875,66
3ord_apply_amt_first_der_mean_diff,586.9375638961792,58
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,585.36274766922,53
12m_repay_amt_second_der_mean_diff,585.1540371179581,61
his_7d_app_str_ctn_v2,581.5874202251434,46
