model_bin,champion,champion_bin,n_samples,bad,bad_rate
1,gcard_v6,1,24718,6,0.00024273808560563152
1,gcard_v6,2,11475,5,0.00043572984749455336
1,gcard_v6,3,5286,5,0.0009458948164964056
1,gcard_v6,4,3451,5,0.0014488554042306578
1,gcard_v6,5,2599,9,0.0034628703347441324
1,gcard_v6,6,1347,10,0.007423904974016332
1,gcard_v6,7,99,1,0.010101010101010102
2,gcard_v6,1,12681,10,0.0007885813421654444
2,gcard_v6,2,14451,13,0.0008995917237561414
2,gcard_v6,3,9015,20,0.0022185246810870773
2,gcard_v6,4,6001,12,0.0019996667222129645
2,gcard_v6,5,4397,24,0.005458267000227428
2,gcard_v6,6,2101,22,0.010471204188481676
2,gcard_v6,7,328,5,0.01524390243902439
3,gcard_v6,1,6949,9,0.0012951503813498344
3,gcard_v6,2,11441,16,0.001398479153920112
3,gcard_v6,3,11748,24,0.0020429009193054137
3,gcard_v6,4,9273,21,0.002264639275315432
3,gcard_v6,5,6268,39,0.00622208040842374
3,gcard_v6,6,2776,36,0.012968299711815562
3,gcard_v6,7,519,10,0.019267822736030827
4,gcard_v6,1,3794,7,0.0018450184501845018
4,gcard_v6,2,7596,20,0.0026329647182727752
4,gcard_v6,3,11330,28,0.002471315092674316
4,gcard_v6,4,12441,59,0.00474238405272888
4,gcard_v6,5,8900,51,0.005730337078651685
4,gcard_v6,6,4164,76,0.01825168107588857
4,gcard_v6,7,749,31,0.04138851802403204
5,gcard_v6,1,800,2,0.0025
5,gcard_v6,2,3737,20,0.005351886540005352
5,gcard_v6,3,9783,41,0.0041909434733721765
5,gcard_v6,4,13337,99,0.00742295868636125
5,gcard_v6,5,12996,144,0.0110803324099723
5,gcard_v6,6,6965,158,0.022684852835606603
5,gcard_v6,7,1356,38,0.028023598820058997
5,gcard_v6,8,1,0,0.0
6,gcard_v6,1,33,1,0.030303030303030304
6,gcard_v6,2,273,3,0.01098901098901099
6,gcard_v6,3,1811,51,0.02816123688569851
6,gcard_v6,4,4456,78,0.017504488330341114
6,gcard_v6,5,13438,257,0.019124869772287542
6,gcard_v6,6,22675,567,0.025005512679162074
6,gcard_v6,7,6260,269,0.042971246006389775
6,gcard_v6,8,28,5,0.17857142857142858
7,gcard_v6,2,1,0,0.0
7,gcard_v6,3,1,0,0.0
7,gcard_v6,4,15,6,0.4
7,gcard_v6,5,370,49,0.13243243243243244
7,gcard_v6,6,8804,525,0.05963198546115402
7,gcard_v6,7,30925,2307,0.07459983831851252
7,gcard_v6,8,8692,961,0.11056143580303728
7,gcard_v6,9,166,19,0.1144578313253012
8,gcard_v6,5,5,0,0.0
8,gcard_v6,6,138,27,0.1956521739130435
8,gcard_v6,7,8543,1559,0.18248858714737212
8,gcard_v6,8,32157,6308,0.19616257735485276
8,gcard_v6,9,8086,1769,0.21877318822656444
8,gcard_v6,10,45,11,0.24444444444444444
9,gcard_v6,5,2,0,0.0
9,gcard_v6,6,4,1,0.25
9,gcard_v6,7,190,78,0.4105263157894737
9,gcard_v6,8,8006,3329,0.41581314014489135
9,gcard_v6,9,35004,15555,0.44437778539595474
9,gcard_v6,10,5768,2565,0.4446948682385576
10,gcard_v6,7,5,2,0.4
10,gcard_v6,8,90,51,0.5666666666666667
10,gcard_v6,9,5718,4082,0.7138859741168241
10,gcard_v6,10,43162,35248,0.8166442704230573
