decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,35,0.0007146503318019398,35,0.0007146503318019398,0.004559660723142268,76724,0.17406889792362423,1.110606238692655
2,48974,0.09999938743381732,77,0.0015722628333401396,112,0.0011434522047187822,0.007295531639229152,76647,0.19563086724145853,1.2481773839606252
3,48974,0.09999938743381732,169,0.0034508106342140727,281,0.0019125664463698672,0.012202686709630374,76478,0.2230850008750948,1.4233421173226795
4,48974,0.09999938743381732,280,0.0057173193939641445,561,0.0028637498277155854,0.01827149170618317,76198,0.2593127012108383,1.654484558541664
5,48975,0.1000014293210929,573,0.011699846860643185,1134,0.004630990885033813,0.02954696347020043,75625,0.3088360810385877,1.9704569996493055
6,48974,0.09999938743381732,1422,0.02903581492220362,2556,0.008698433873525589,0.05549834026657516,74203,0.3787857904919422,2.4167549003099995
7,48974,0.09999938743381732,4300,0.08780169069302078,6856,0.01999883320693075,0.12759791778504,69903,0.47577983025122,3.0356028792287972
8,48974,0.09999938743381732,10654,0.21754400294033568,17510,0.04469185337192504,0.2851460069298282,59249,0.6048964256909208,3.8594013758275727
9,48974,0.09999938743381732,21425,0.437477028627435,38935,0.0883344525918397,0.5635974910523242,37824,0.772312404287902,4.927560205489519
10,48975,0.1000014293210929,37824,0.772312404287902,76759,0.15673322538555937,1.0,0,0.0,0.0
