decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,48975,0.1000014293210929,41,0.0008371618172537009,41,0.0008371618172537009,0.005341316847109515,76718,0.17405528532016842,1.1105193866329062
2,48974,0.09999938743381732,106,0.0021644137705721404,147,0.0015007810186934017,0.009575385276488263,76612,0.19554153458194867,1.2476074176418046
3,48974,0.09999938743381732,155,0.0031649446645158658,302,0.0020554984583761563,0.013114631268001328,76457,0.2230237442389592,1.4229512835605023
4,48974,0.09999938743381732,272,0.005553967411279454,574,0.0029301112319228984,0.018694895257306846,76185,0.25926846034997925,1.6542022899878828
5,48975,0.1000014293210929,502,0.010250127616130679,1076,0.004394132444705805,0.028035743116345383,75683,0.3090729404461941,1.9719682261746563
6,48974,0.09999938743381732,1231,0.025135786335606647,2307,0.007851051230916875,0.050091811813375936,74452,0.38005686661868227,2.424864706789214
7,48974,0.09999938743381732,3867,0.07896026463021195,6174,0.01800945102386092,0.11490512608005209,70585,0.4804217174982814,3.0652193644101775
8,48974,0.09999938743381732,9674,0.19753338506146118,15848,0.04044982822605757,0.25808074916184565,60911,0.6218644396573727,3.967661854259705
9,48974,0.09999938743381732,21528,0.43958018540450033,37376,0.0847974444605779,0.5410304308609648,39383,0.8041449719244512,5.130660521700341
10,48975,0.1000014293210929,39383,0.8041449719244512,76759,0.15673322538555937,1.0,0,0.0,0.0
