decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,32721,0.10000152809400835,29,0.0008862809816325907,29,0.0008862809816325907,0.03700339014866554,7808,0.02651417394493419,1.1070014400474917
2,32720,0.09999847190599166,47,0.0014364303178484108,76,0.0011613514463409789,0.048487941814469825,7761,0.02964884399688269,1.2378780145463826
3,32721,0.10000152809400835,73,0.002230983160661349,149,0.0015178989833132984,0.06337426781102817,7688,0.03356574966272709,1.4014139490101591
4,32720,0.09999847190599166,91,0.0027811735941320292,240,0.0018337128100120719,0.07655990812811024,7597,0.03869643393794919,1.615626727914593
5,32721,0.10000152809400835,139,0.004248036429204486,379,0.0023165834367340453,0.09672038833948747,7458,0.04558623977701984,1.9032851328620362
6,32720,0.09999847190599166,199,0.006081907090464547,578,0.002944127789408271,0.12292118582791034,7259,0.055462172032823456,2.3156182212581347
7,32720,0.09999847190599166,312,0.009535452322738386,890,0.0038857332465956173,0.16223444518978167,6947,0.07077076669179519,2.9547720703571323
8,32721,0.10000152809400835,511,0.015616882124629443,1401,0.005352149264222735,0.2234592318489218,6436,0.09834813037698079,4.106163072604312
9,32720,0.09999847190599166,962,0.029400977995110024,2363,0.008024205050189484,0.3350210556906023,5474,0.16729317563644142,6.984708885303282
10,32721,0.10000152809400835,5474,0.16729317563644142,7837,0.023951345486774345,1.0,0,0.0,0.0
