decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,1516,0.09326934908330257,1516,0.09326934908330257,0.2199560874800765,67406,0.4607886029914413,1.0866727308119741
2,16254,0.1000012304814874,2485,0.152885443583118,4001,0.12307739633321028,0.2902520798178714,64921,0.4992770899023302,1.1774397092154167
3,16254,0.1000012304814874,3443,0.21182478159222345,7444,0.15265985808621468,0.3600160763416204,61478,0.5403424272254254,1.2742836458078144
4,16253,0.09999507807405038,4492,0.27637974527779485,11936,0.18358840267630547,0.43295452532139717,56986,0.5843339519908124,1.3780283782926013
5,16254,0.1000012304814874,5713,0.3514827119478282,17649,0.21716767771228881,0.5121441629668321,51273,0.6309047730376897,1.4878558370331678
6,16254,0.1000012304814874,7042,0.43324720068906114,24691,0.2531813008213447,0.5970746970909104,44231,0.6803199261708837,1.6043910530739545
7,16253,0.09999507807405038,8534,0.5250722943456593,33225,0.29202116439319364,0.6886703232370057,35697,0.7320659529961856,1.7264231430906534
8,16254,0.1000012304814874,10231,0.6294450596776178,43456,0.3341998000461432,0.7881397391239375,25466,0.7833763996554695,1.8474280091581887
9,16254,0.1000012304814874,11706,0.7201919527500923,55162,0.3770884033797271,0.8892834640395532,13760,0.8465608465608465,1.9964352003468684
10,16254,0.1000012304814874,13760,0.8465608465608465,68922,0.42403622537498925,1.0,0,0.0,0.0
