decile,n_samples,pct,bad,bad_rate,cum_bad,cum_bad_rate,cum_lift,remaining_bad,remaining_bad_rate,remaining_lift
1,16254,0.1000012304814874,939,0.057770394979697305,939,0.057770394979697305,0.13623929165157772,67983,0.46473298515216976,1.095974724190583
2,16254,0.1000012304814874,1775,0.10920388827365572,2714,0.08348714162667652,0.19688681445281256,66208,0.509174805814043,1.2007813845710065
3,16254,0.1000012304814874,2653,0.1632213608957795,5367,0.11006521471637751,0.2595655939985863,63555,0.5585975952749261,1.317334609279997
4,16253,0.09999507807405038,3724,0.22912693041284685,9091,0.13982927016842267,0.3297578409598544,59831,0.6135065574274786,1.446825815140993
5,16254,0.1000012304814874,5137,0.3160452811615602,14228,0.1750729060281288,0.41287252256173645,54694,0.6729995447218496,1.5871274774382633
6,16254,0.1000012304814874,6722,0.4135597391411345,20950,0.2148211191206177,0.5066102994635524,47972,0.7378604937322156,1.7400883452344225
7,16253,0.09999507807405038,8848,0.5443918045899219,29798,0.26190057657150895,0.6176372698816042,39124,0.8023460891677946,1.8921640207938684
8,16254,0.1000012304814874,10892,0.6701119724375538,40690,0.3129277858955626,0.7379741804343019,28232,0.868463147532915,2.048087157565145
9,16254,0.1000012304814874,13033,0.8018333948566506,53723,0.3672513740395395,0.8660849051629185,15199,0.9350929002091792,2.2052193757319807
10,16254,0.1000012304814874,15199,0.9350929002091792,68922,0.42403622537498925,1.0,0,0.0,0.0
