split,metric,baseline_score,uplift
DEV,auc,gcard_v2,0.025464
DEV,ks,gcard_v2,0.054853
DEV,auc,gcard_v4,0.029796
DEV,ks,gcard_v4,0.060718
DEV,auc,gcard_v5,0.028301
DEV,ks,gcard_v5,0.059222
DEV,auc,gcard_v6,0.017944
DEV,ks,gcard_v6,0.038082
DEV-OOS,auc,gcard_v2,0.007006
DEV-OOS,ks,gcard_v2,0.015444
DEV-OOS,auc,gcard_v4,0.011453
DEV-OOS,ks,gcard_v4,0.025389
DEV-OOS,auc,gcard_v5,0.009688
DEV-OOS,ks,gcard_v5,0.018672
DEV-OOS,auc,gcard_v6,-0.000625
DEV-OOS,ks,gcard_v6,-0.000421
OOT,auc,gcard_v2,0.006035
OOT,ks,gcard_v2,0.0142
OOT,auc,gcard_v4,0.011453
OOT,ks,gcard_v4,0.022022
OOT,auc,gcard_v5,0.006951
OOT,ks,gcard_v5,0.016981
OOT,auc,gcard_v6,-0.00126
OOT,ks,gcard_v6,-0.002056
OOT-OOS,auc,gcard_v2,0.008674
OOT-OOS,ks,gcard_v2,0.019716
OOT-OOS,auc,gcard_v4,0.012703
OOT-OOS,ks,gcard_v4,0.032001
OOT-OOS,auc,gcard_v5,0.009508
OOT-OOS,ks,gcard_v5,0.027394
OOT-OOS,auc,gcard_v6,0.000274
OOT-OOS,ks,gcard_v6,0.004033
