intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,160,0.000327,0,0.0
低意愿,2,409,0.000835,2,0.00489
低意愿,3,2019,0.004123,3,0.001486
低意愿,4,3793,0.007745,4,0.001055
低意愿,5,10516,0.021472,17,0.001617
低意愿,6,79866,0.163077,187,0.002341
低意愿,7,66485,0.135755,164,0.002467
中意愿,1,3953,0.008072,127,0.032127
中意愿,2,12714,0.025961,408,0.032091
中意愿,3,22953,0.046867,716,0.031194
中意愿,4,18815,0.038418,563,0.029923
中意愿,5,33966,0.069355,688,0.020256
中意愿,6,61330,0.125229,1284,0.020936
中意愿,7,9516,0.019431,257,0.027007
高意愿,1,7358,0.015024,2994,0.406904
高意愿,2,24274,0.049565,10577,0.435734
高意愿,3,35116,0.071703,14895,0.424166
高意愿,4,40552,0.082803,18470,0.455465
高意愿,5,9698,0.019802,3957,0.408022
高意愿,6,36660,0.074856,16609,0.453055
高意愿,7,9590,0.019582,4837,0.50438
