intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,84,0.000257,0,0.0
低意愿,2,137,0.000419,0,0.0
低意愿,3,753,0.002301,1,0.001328
低意愿,4,1977,0.006042,0,0.0
低意愿,5,4586,0.014016,4,0.000872
低意愿,6,48760,0.14902,71,0.001456
低意愿,7,52772,0.161281,93,0.001762
中意愿,1,205,0.000627,0,0.0
中意愿,2,1426,0.004358,6,0.004208
中意愿,3,4911,0.015009,21,0.004276
中意愿,4,5839,0.017845,21,0.003597
中意愿,5,17082,0.052206,76,0.004449
中意愿,6,60219,0.184041,332,0.005513
中意愿,7,19385,0.059244,151,0.00779
高意愿,1,4922,0.015043,434,0.088176
高意愿,2,11816,0.036112,838,0.070921
高意愿,3,17360,0.053055,1047,0.060311
高意愿,4,11234,0.034333,582,0.051807
高意愿,5,24816,0.075842,1326,0.053433
高意愿,6,34023,0.103981,2274,0.066837
高意愿,7,4898,0.014969,560,0.114332
