intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1662,0.010225,185,0.111312
低意愿,2,7732,0.04757,851,0.110062
低意愿,3,14270,0.087795,1647,0.115417
低意愿,4,15832,0.097405,1925,0.121589
低意愿,5,2588,0.015922,324,0.125193
低意愿,6,10669,0.06564,1368,0.128222
低意愿,7,1426,0.008773,154,0.107994
中意愿,1,2442,0.015024,855,0.350123
中意愿,2,8297,0.051047,3003,0.361938
中意愿,3,11664,0.071762,4241,0.363597
中意愿,4,14007,0.086177,5264,0.375812
中意愿,5,2595,0.015965,992,0.382274
中意愿,6,12116,0.074543,4684,0.386596
中意愿,7,3058,0.018814,1155,0.377698
高意愿,1,2156,0.013265,1647,0.763915
高意愿,2,7989,0.049152,6289,0.787207
高意愿,3,11130,0.068476,8657,0.777808
高意愿,4,14271,0.087801,11245,0.787962
高意愿,5,2513,0.015461,1940,0.771986
高意愿,6,12069,0.074253,9351,0.774795
高意愿,7,4052,0.02493,3145,0.77616
