intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,160,0,0.0
低意愿,2,409,0,0.0
低意愿,3,2019,0,0.0
低意愿,4,3793,0,0.0
低意愿,5,10516,0,0.0
低意愿,6,79866,2,2.5e-05
低意愿,7,66485,0,0.0
中意愿,1,3953,0,0.0
中意愿,2,12714,7,0.000551
中意愿,3,22953,9,0.000392
中意愿,4,18815,17,0.000904
中意愿,5,33966,14,0.000412
中意愿,6,61330,13,0.000212
中意愿,7,9516,1,0.000105
高意愿,1,7358,63,0.008562
高意愿,2,24274,346,0.014254
高意愿,3,35116,482,0.013726
高意愿,4,40552,568,0.014007
高意愿,5,9698,114,0.011755
高意愿,6,36660,430,0.011729
高意愿,7,9590,86,0.008968
