intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1662,3,0.001805
低意愿,2,7732,14,0.001811
低意愿,3,14270,29,0.002032
低意愿,4,15832,39,0.002463
低意愿,5,2588,11,0.00425
低意愿,6,10669,24,0.00225
低意愿,7,1426,0,0.0
中意愿,1,2442,17,0.006962
中意愿,2,8297,66,0.007955
中意愿,3,11664,113,0.009688
中意愿,4,14007,100,0.007139
中意愿,5,2595,22,0.008478
中意愿,6,12116,107,0.008831
中意愿,7,3058,18,0.005886
高意愿,1,2156,38,0.017625
高意愿,2,7989,261,0.03267
高意愿,3,11130,334,0.030009
高意愿,4,14271,442,0.030972
高意愿,5,2513,78,0.031039
高意愿,6,12069,296,0.024526
高意愿,7,4052,67,0.016535
