feature,iv,drop_reason
max_ctn_ovd_day,0.001200358825138815,low_iv
not_ovd_tqhk_rep_tim_cnt_12m,0.4216823335365049,high_corr
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,0.5694616744078356,kept
max_con_not_ovd_tqhk_rep_tim_cnt_5m,0.14025448555712935,kept
max_con_not_ovd_tqhk_rep_tim_cnt_12m,0.17974489063786087,kept
not_ovd_tqhk_rep_tim_cnt_3m,0.0,low_iv
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,2.1369755673089985,kept
d30_d60_his_rep_amt_sum_rat_btch,2.520611958828237,kept
d90_d360_his_rep_amt_sum_rat_btch,2.328083327827422,high_corr
lag_his_rep_amt_sum_per_mth_all_rat_max,2.251858376856429,kept
lag_his_rep_amt_sum_per_mth_btch_rat_max,2.2015459723242543,kept
m6_up_flg_btch_cnt_rat,2.185355244018901,kept
d30_d180_his_rep_amt_sum_rat_all,2.422301714786494,kept
d30_his_rep_amt_sum_btch,2.439214610397665,high_corr
d180_d360_his_rep_amt_sum_rat_all,2.2663287502761698,high_corr
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,1.3423470746241164,high_corr
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,1.5957427791640615,high_corr
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,1.5818355773253339,kept
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,1.5888070498003786,high_corr
min_rsk_avl_lmt_bjq_12m_all,1.5866992764859038,kept
max_rsk_lmt_rate_bjq_12m_all,1.5298640823909415,kept
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,1.333854248998455,kept
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,1.5901249397271304,kept
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,1.598876092489422,kept
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,1.5920240253002602,kept
min_rsk_lmt_rate_bjq_12m_all,1.5320174107702633,high_corr
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,1.3237868219738118,high_corr
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,1.5755214068354308,kept
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,1.5903592819644032,kept
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,1.3454370850959156,high_corr
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,1.6184434076129255,kept
max_rsk_avl_lmt_bjq_12m_all,1.5714406225208526,high_corr
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,2.308647495252186,kept
stg_pln_sum_rep_prc_1m_his_d0_evn_zd_rto_v2,2.270193501262948,kept
