feature,real_gain_mean,null_gain_percentile,null_percentile,null_importance_score,survives
d180_apl_ord_days_cnt,22526.579889297485,0.0,75.0,2.2526579889297484e+16,True
first_day_diff_event_result_1_all,15779.934251228968,0.0,75.0,1.5779934251228968e+16,True
d360_apl_ord_ddf_mdl_ord_crt_dte_min,10295.09784491857,0.0,75.0,1.029509784491857e+16,True
unpaid_principal_future_light_add_heavy,6899.360195159912,0.0,75.0,6899360195159912.0,True
d60_apl_ord_prc_amt_sum,1989.4979756673176,0.0,75.0,1989497975667317.8,True
d180_apl_ord_days_cnt_all,1737.3752663930256,0.0,75.0,1737375266393025.8,True
his_360_day_csh_apl_ord_cnt_his_rto,1481.836913426717,0.0,75.0,1481836913426717.0,True
d30_d60_apl_ord_cnt_rat,1233.5746561686199,0.0,75.0,1233574656168620.0,True
clk_cnt_14d,648.1267574628195,0.0,75.0,648126757462819.5,True
first_day_diff_event_result_0_event_type_loan_all,597.5496651331583,0.0,75.0,597549665133158.4,True
cnt_avg_ord_span_30d,447.86857803662616,0.0,75.0,447868578036626.2,True
pmt_crd_amt_3m,345.255225499471,0.0,75.0,345255225499471.0,True
d180_apl_ord_cnt_all,335.2281023661296,0.0,75.0,335228102366129.56,True
pge_id_cnt_90d,321.91084229946136,0.0,75.0,321910842299461.4,True
d30_apl_ord_days_cnt,298.35419750213623,0.0,75.0,298354197502136.25,True
ddf_mdl_max_dau_dt_90d,294.8151110808055,0.0,75.0,294815111080805.5,True
ord_apl_suc_sum_stg_num_180_day,255.60670153299967,0.0,75.0,255606701532999.66,True
min_rsk_lmt_rate_12m_bt_ch,244.707573334376,0.0,75.0,244707573334376.0,True
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,238.78396797180176,0.0,75.0,238783967971801.75,True
rsk_avl_lmt_ch_les_10000_cnt_12m,236.00162847836813,0.0,75.0,236001628478368.12,True
d365_aplord_suc_month_cnt,172.46113395690918,0.0,75.0,172461133956909.2,True
pmt_crd_amt_1m,171.68336534500122,0.0,75.0,171683365345001.22,True
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,168.54755147298178,0.0,75.0,168547551472981.78,True
d60_apl_ord_prc_amt_avg,153.99773025512695,0.0,75.0,153997730255126.97,True
3m_used_lmt_second_der_small_0_count,143.9380742708842,0.0,75.0,143938074270884.2,True
his_30d_app_str_ctn_v2,121.7232387860616,0.0,75.0,121723238786061.61,True
avg_avl_lmt_lft_rep_prc_3m_cash_1m,119.94787327448527,0.0,75.0,119947873274485.28,True
