feature,split,gain,rank
d180_apl_ord_days_cnt,19,24547.13600540161,1
first_day_diff_event_result_1_all,48,18621.994641780853,2
unpaid_principal_future_light_add_heavy,10,8593.288005828857,3
d30_d60_apl_ord_cnt_rat,4,8471.32260131836,4
his_360_day_csh_apl_ord_cnt_his_rto,26,2996.693871498108,5
d180_apl_ord_days_cnt_all,14,2864.655022621155,6
d360_apl_ord_ddf_mdl_ord_crt_dte_min,48,2601.4768414497375,7
pmt_crd_amt_3m,6,1388.4764609336853,8
clk_cnt_14d,36,963.6046204566956,9
first_day_diff_event_result_0_event_type_loan_all,30,650.0593090057373,10
d30_apl_ord_days_cnt,26,608.797619342804,11
d60_apl_ord_prc_amt_avg,5,569.2345590591431,12
min_rsk_lmt_rate_12m_bt_ch,20,562.9410133361816,13
pge_id_cnt_90d,31,547.3919258117676,14
ord_apl_avg_prc_amt_720_day_per_mth,12,543.537936270237,15
ddf_mdl_max_dau_dt_90d,22,377.6321972608566,16
d180_unpaid_principal_tot_amt_t_day_divide_rsk_avl_lmt_cash_his_t_day_max,13,347.3191900253296,17
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,14,321.8230619430542,18
cnt_avg_ord_span_30d,9,311.1830015182495,19
rsk_avl_lmt_ch_les_10000_cnt_12m,16,247.6630003452301,20
pst_ord_apl_suc_max_prc_amt_180_day,5,206.10179042816162,21
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,12,205.7149896621704,22
d60_apl_ord_ddf_mdl_ord_crt_dte_max,13,202.88519859313965,23
d365_aplord_suc_month_cnt,2,198.5647964477539,24
rsi_abf_1y_inter_1m,9,192.01987218856812,25
ord_apl_suc_sum_stg_num_180_day,4,182.61120223999023,26
d360_apl_ord_stg_num_sum_all,11,181.7067699432373,27
max_ddf_lag_crt_dte,30,175.71636724472046,28
18m_used_lmt_second_der_mean_rto,20,175.42077112197876,29
avg_avl_lmt_lft_rep_prc_3m_cash_1m,13,173.35128927230835,30
his_30d_app_str_ctn_v2,10,172.3364806175232,31
d7_d360_suc_ord_prc_amt_avg_rat_all,12,158.52685928344727,32
d180_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,9,154.6750612258911,33
3m_used_lmt_first_der_mean_rto,12,140.51579129695892,34
his_7d_app_str_ctn_v2,9,139.03642892837524,35
used_rate_ch_grt_0p5_rate_3m,12,137.39799976348877,36
3m_repay_ftr_amt_first_der_mean_rto,10,136.02987957000732,37
his_max_faqi_prc_amt_divide_max_ontim_amt_sum_mon,16,131.14177012443542,38
3m_repay_amt_first_der_mean_rto,11,129.32604026794434,39
d360_due_repay_amt_avg_divide_d360_faqi_trade_amt_avg,8,126.79484844207764,40
stg_pln_sum_rep_prc_his_fst_ord,12,123.63939952850342,41
avg_avl_lmt_lft_rep_prc_all_cash_36m,11,121.45339965820312,42
ftr_pending_repay_gurantee_fee_sum_divide_ftr_principal_sum,9,120.2279109954834,43
d180_apl_ord_ddf_mdl_ord_crt_dte_max,4,119.85131740570068,44
rsk_avl_lmt_ch_1m_les_1000_rate_6m,7,118.20641803741455,45
d90_aplord_suc_month_cnt,6,116.67583179473877,46
first_amt_event_type_credit_all,12,116.46827703714371,47
m3_stg_pln_bnk_cnt_avg,9,113.47856044769287,48
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,14,107.9550969004631,49
d720_max_due_prc_amt_divide_d720_max_faqi_prc_amt,9,105.88679885864258,50
ord_apl_fal_cnt_his,15,104.37411975860596,51
6m_used_lmt_first_der_max,8,96.96615028381348,52
sum_avb_lmt_2m_v2,9,96.88030052185059,53
ord_apl_cnt_13_18,10,94.59146070480347,54
stg_pln_sum_rep_prc_his_d0_mrn_zd_rto_v2,11,93.61414957046509,55
min_rsk_lmt_rate_3m_bt_ch,5,92.94793891906738,56
credit_reject_cnt_12m,9,91.86898040771484,57
ord_apl_min_prc_amt_his,14,90.62743973731995,58
12m_repay_amt_second_der_mean_diff,11,89.98857879638672,59
d360_max_due_prc_amt_divide_d360_max_faqi_prc_amt,9,89.06616878509521,60
6m_used_lmt_second_der_sum,6,88.07901096343994,61
3m_used_lmt_second_der_mean_diff,9,87.97242069244385,62
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,9,86.88050174713135,63
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,2,85.96229934692383,64
rsk_avl_lmt_ch_1m_les_1000_cnt_24m,6,85.06221866607666,65
6stg_pln_repay_amt_second_der_sum,10,81.05436968803406,66
max_ddf_mdl_rep_dte_his_bjq,14,79.75778079032898,67
d180_apl_ord_prc_amt_avg,7,76.87008982896805,68
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,9,76.76210069656372,69
3stg_pln_repay_amt_first_der_mean_diff,10,74.78550887107849,70
d1080_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,15,73.65630030632019,71
stg_pln_min_prc_amt_3m_6m_ftr_rto_cash,7,72.79354953765869,72
sum_talk_duration_180d,7,72.41701984405518,73
ord_apl_suc_sum_prc_amt_360_day_13_18_bjq_12m,5,71.76231956481934,74
6stg_pln_repay_amt_second_der_median,8,71.42222023010254,75
ord_apl_sum_prc_amt_360_day_bjq_12m,5,71.40613126754761,76
12m_repay_amt_first_der_median,7,71.33585000038147,77
m6_manual_work_day_rep_apl_suc_cnt_rat,7,70.82346820831299,78
ord_apl_suc_cnt_720_day_13_18,6,70.73779010772705,79
stg_pln_max_prc_amt_adv_rct_6m,6,69.91450119018555,80
36stg_pln_repay_amt_second_der_mean_diff,5,69.40338087081909,81
max_con_dau_7d,3,69.33999919891357,82
abf_1y_inter_1m_count_up,5,68.46003150939941,83
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,11,68.1072404384613,84
stg_pln_avg_prc_amt_12m_ftr_his_rto_all,8,67.5619033575058,85
stddev_amt_event_type_repay_all,11,65.84695738554001,86
af_q2_q1_trend,4,65.36240100860596,87
ddf_36m_rep_dte_0_crt_dt_rep_prc_amt_rto,6,64.84841108322144,88
3stg_pln_repay_amt_first_der_stddev,8,64.63995957374573,89
d90_suc_ord_prc_amt_sum_all,4,64.5142993927002,90
rsk_avl_lmt_ch_1m_les_500_rate_3m,4,63.92459964752197,91
min_amt_event_type_credit_event_result_1,9,63.17092037200928,92
3m_repay_ftr_amt_second_der_mean_diff,10,61.973169177770615,93
18ord_apply_amt_first_der_min,5,61.30136013031006,94
12m_used_lmt_second_der_mean_diff,6,60.8475399017334,95
credit_unique_scene_cnt_12m,5,60.80552959442139,96
stg_pln_min_prc_amt_3m_ftr_his_rto_cash,5,60.804200172424316,97
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,5,60.74469931423664,98
d30_apl_ord_prc_amt_avg_all,3,60.44309997558594,99
rsk_lmt_rate_ch_1m_grt_0p5_cnt_24m,6,60.23079061508179,100
3stg_pln_repay_amt_first_der_mean_rto,7,60.005980014801025,101
min_ddf_lag_crt_tim_mnt,7,58.86864924430847,102
avg_avl_lmt_lft_rep_prc_all_cash_12m,6,58.381561279296875,103
rsk_lmt_rate_ch_1m_grt_0p2_rate_36m,13,57.654011249542236,104
12stg_pln_repay_amt_first_der_mean_diff,7,57.57731008529663,105
avg_ddf_rep_dte_ord_crt_tim_neg_7,6,57.28220987319946,106
12ord_apply_amt_first_der_stddev,6,56.928160190582275,107
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,4,56.5511999130249,108
3m_used_lmt_first_der_small_0_sum,4,56.126099586486816,109
12m_used_lmt_first_der_mean_diff,8,55.763060331344604,110
ddf_mdl_max_con_dau_dt_90d,4,55.6334285736084,111
d365_aplord_fal_month_rto,2,55.444000244140625,112
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,3,55.14680004119873,113
d180_avl_lmt_shift1_rise_month_cnt,7,55.122379779815674,114
std_amt_channel_hb,10,54.99318790435791,115
stg_pln_min_prc_amt_1m_ftr_his_rto_cash,5,54.62144947052002,116
m3_manual_rep_apl_suc_amt_avg,3,54.090200424194336,117
12stg_pln_repay_amt_first_der_mean_rto,5,53.11983871459961,118
6m_used_lmt_second_der_min,5,52.929099559783936,119
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,4,52.855401039123535,120
d1095_avl_lmt_eql_0_month_cnt,6,51.81317901611328,121
12m_repay_amt_second_der_avg,6,51.580100297927856,122
3m_repay_amt_first_der_min,6,51.17069053649902,123
cnt_event_type_limit_type_heavy_all,6,51.093660831451416,124
avg_day_diff_shift1_event_type_repay_all,8,51.003509521484375,125
ai_call_cnt_21d,4,50.913169860839844,126
rsk_avl_lmt_ch_les_1000_rate_12m,5,50.59584951400757,127
n_unique_event_type_day_diff_shift1_event_type_loan,5,50.193129539489746,128
percent_true_followup_code_wfjt_called_phone_social_relations_family_180d,4,49.80084991455078,129
36stg_pln_repay_amt_first_der_sum,5,49.7889404296875,130
12m_repay_amt_second_der_median,4,49.37040972709656,131
d180_faqi_trade_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,2,49.310001373291016,132
ord_apl_sum_prc_amt_07_12,8,49.298240184783936,133
m6_manual_rep_apl_suc_cnt_in_manual_rep_rat,3,48.70630097389221,134
stg_pln_sum_prc_amt_6m_12m_ftr_cash,3,48.21242046356201,135
3m_repay_amt_second_der_mean_rto,5,48.10526943206787,136
his_max_due_prc_amt_divide_his_max_faqi_prc_amt,5,48.08363103866577,137
m3_normal_batch_rep_apl_suc_amt_sum,5,47.59214973449707,138
ddf_mdl_max_con_dau_dt_30d,5,47.47317934036255,139
m1_stg_pln_normal_batch_rep_apl_cnt_equal_2_cnt_rat,4,47.08378982543945,140
his_due_repay_amt_sum_divide_his_faqi_trade_amt_sum,4,46.41822052001953,141
ord_apl_suc_sum_prc_amt_19_23,6,46.35361051559448,142
stg_pln_pay_off_cnt_d0_rep_6m_rto,4,46.115739822387695,143
stg_pln_sum_rep_prc_his_d0_mrn_pk,8,45.93444013595581,144
18m_repay_amt_first_der_avg,5,45.225080490112305,145
d15_d30_apl_ord_prc_amt_avg_rat_all,4,44.1343412399292,146
24stg_pln_repay_amt_second_der_mean_rto,5,43.88643980026245,147
ai_call_cnt_60d,4,42.89142894744873,148
18m_repay_amt_first_der_median,5,42.20848035812378,149
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,6,41.81413984298706,150
light_his_max_faqi_prc_amt_divide_heavy_his_max_faqi_prc_amt,3,41.5625,151
18m_used_lmt_first_der_sum,4,41.481539249420166,152
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,4,41.354180335998535,153
12m_repay_amt_second_der_mean_rto,4,41.274850368499756,154
heavy_his_sum_fail_prc_amt_divide_light_his_sum_ontim_repay_amt,4,41.1466703414917,155
m6_pmt_not_eng_equal_1_stg_pln_d0_cnt_rat,2,41.02227020263672,156
d90_repaid_interest_fee_sum,4,41.02038908004761,157
3m_used_lmt_first_der_mean_diff,3,40.93367052078247,158
stg_pln_min_prc_amt_6m_ftr_his_rep_rto_cash,3,40.47903871536255,159
18stg_pln_repay_amt_second_der_mean_diff,4,39.95574998855591,160
m6_payment_not_eng_mdl_crt_ddf_max,5,39.944509983062744,161
m6_manual_tim_13_18_rep_apl_suc_cnt_rat,3,39.34010028839111,162
12m_repay_amt_first_der_stddev,4,39.18539047241211,163
avg_avl_lmt_lft_rep_prc_all_cash_24m,5,39.168609619140625,164
stg_pln_sum_prc_amt_12m_ftr_his_rep_rto_cash,3,39.07960033416748,165
min_ddf_rep_tim_dte_adv,4,38.07308101654053,166
max_avl_lmt_lft_rep_prc_all_cash_12m,4,37.922380447387695,167
m3_manual_deduct_rep_apl_cnt_rat,3,37.77305030822754,168
cnt_event_type_loan_type_heavy_all,4,37.313690185546875,169
last_amt_channel_hb_microcredit_lv1_all,5,37.201340198516846,170
d365_aplord_fal_month_cnt,2,37.177499771118164,171
6m_repay_ftr_amt_first_der_mean_rto,1,37.109901428222656,172
d360_apl_ord_ddf_mdl_ord_crt_dte_max,4,37.10555982589722,173
3m_repay_ftr_amt_first_der_mean_diff,3,37.08379936218262,174
6m_repay_amt_second_der_mean_rto,4,37.05438995361328,175
d730_aplord_amt_grt_fst_month_rto,7,36.9031588435173,176
m3_stg_pln_normal_batch_rep_apl_cnt_avg,4,36.862430572509766,177
lag_his_rep_amt_sum_per_mth_all_rat_max,3,36.854000091552734,178
6m_repay_amt_second_der_mean_diff,5,36.12288045883179,179
24stg_pln_repay_amt_first_der_mean_rto,4,35.0486798286438,180
stg_pln_cnt_3m_6m_ftr_rto_all,3,34.89230918884277,181
m6_manual_tim_6_12_rep_apl_cnt_rat,3,34.785499572753906,182
stg_pln_min_rep_prc_his,8,34.73461997509003,183
6m_used_lmt_first_der_sum,2,34.36400032043457,184
6m_repay_amt_first_der_max,3,33.8843297958374,185
m1_manual_rep_apl_suc_cnt_rat,3,33.772000312805176,186
per_event_type_limit_all,5,33.35846996307373,187
6m_used_lmt_first_der_mean_diff,3,32.880919456481934,188
his_30_day_csh_apl_ord_cnt_his_rto,3,32.880459785461426,189
d90_apl_ord_prc_amt_per_stg_sum,3,32.717320919036865,190
d30_d180_his_rep_amt_sum_rat_all,4,32.18461117148399,191
stg_pln_pay_off_sum_prc_amt_6m_12m_rto,3,32.00773048400879,192
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,2,31.781700134277344,193
12m_repay_ftr_amt_first_der_sum,3,31.54421043395996,194
stg_pln_sum_rep_prc_his_d0_dwn_zd_v2,3,30.760350227355957,195
d15_apl_ord_prc_amt_per_stg_sum,2,30.721099853515625,196
d60_apl_ord_stg_num_sum_all,3,30.694469451904297,197
d90_apl_ord_ddf_mdl_ord_crt_dte_max,2,30.332500457763672,198
12m_used_lmt_second_der_sum,3,30.240199089050293,199
m6_pmt_not_eng_amt_pday_min,3,29.973519325256348,200
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,5,29.895310044288635,201
m6_payment_not_eng_mdl_crt_ddf_avg,3,29.858659267425537,202
rsk_lmt_rate_ch_1m_grt_0p9_rate_12m,4,29.841020584106445,203
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_180d,2,29.76395893096924,204
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,3,29.616729259490967,205
m3_manual_rep_apl_suc_amt_sum,3,29.36522102355957,206
24stg_pln_repay_amt_first_der_mean_diff,2,29.18459987640381,207
stg_pln_avg_prc_amt_6m_light,3,29.028030395507812,208
18stg_pln_repay_amt_first_der_stddev,3,28.969629287719727,209
12stg_pln_repay_amt_first_der_sum,4,28.9527907371521,210
his_max_faqi_prc_amt_divide_unpaid_principal_tot,4,28.60817003250122,211
min_rsk_avl_lmt_12m_bt_ch,5,28.53810977935791,212
d720_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,2,28.521779537200928,213
ddf_12m_rep_dte_7_crt_dt_rep_prc_amt_rto,2,28.365819931030273,214
d1080_due_repay_amt_sum_divide_d1080_faqi_trade_amt_sum,3,28.20534038543701,215
12m_used_lmt_first_der_mean_rto,5,28.066869735717773,216
day_diff_shift1_n_unique_all,3,27.986380100250244,217
d720_max_adv_repay_amt_divide_d720_max_faqi_prc_amt,3,27.923590183258057,218
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,3,27.730059146881104,219
rsk_lmt_rate_ch_1m_grt_0p2_cnt_24m,3,27.35053014755249,220
stg_pln_cnt_adv_rct,3,26.991729497909546,221
m3_manual_deduct_rep_apl_stg_pln_cnt_avg,3,26.944900035858154,222
pmt_crd_amt_1m,3,26.9153995513916,223
3stg_pln_repay_amt_second_der_mean_rto,5,26.58683967590332,224
d720_repaid_interest_fee_sum,4,26.424609422683716,225
m6_normal_batch_rep_apl_fal_cnt_rat,2,26.34694004058838,226
ddf_6m_rep_dte_neg_7_crt_dt_max_prc_amt,1,26.34040069580078,227
d720_trade_fail_count_mon_divide_his_trade_success_count_mon,2,25.950000762939453,228
d720_repaid_tot_fee_stddev,2,25.7253999710083,229
min_avl_lmt_lft_rep_prc_2m_cash_36m,2,25.6681489944458,230
ord_apl_fal_cnt_360_day,2,25.394150257110596,231
3m_used_lmt_second_der_sum,2,25.37600040435791,232
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1,25.16699981689453,233
max_avl_lmt_lft_rep_prc_1m_cash_3m,2,25.117259979248047,234
max_rsk_lmt_rate_1m_all,3,25.005430221557617,235
m3_stg_pln_rep_apl_fal_cnt_max,3,24.93945026397705,236
3stg_pln_repay_amt_first_der_sum,3,24.836170434951782,237
last_day_diff_event_result_0_event_type_loan_all,3,24.727259635925293,238
12m_repay_ftr_amt_second_der_min,1,24.44179916381836,239
pmt_crd_amt_pmonth_his,2,24.397899627685547,240
min_rsk_avl_lmt_bjq_12m_all,4,24.194779872894287,241
stg_pln_avg_prc_amt_adv_3d,5,24.14868986606598,242
12m_repay_ftr_amt_second_der_sum,3,24.12803030014038,243
max_avl_lmt_lft_rep_prc_1m_cash_36m,4,24.07584011554718,244
ord_apl_sum_prc_amt_13_18,3,23.926559925079346,245
his_trade_fail_count_mon_divide_his_trade_success_count_mon,4,23.712770462036133,246
used_rate_ch_grt_0p95_cnt_6m,3,23.672760009765625,247
payment_day_6m,1,23.411500930786133,248
6m_repay_amt_second_der_sum,4,23.08140993118286,249
m6_stg_pln_rep_apl_fal_cnt_mor_1_rep_apl_amt_min,2,22.96909999847412,250
d90_repaid_exclude_principal_fee_stddev,3,22.905620098114014,251
af_1m_trend,2,22.767419815063477,252
d180_apl_ord_prc_amt_per_stg_min,2,22.640589714050293,253
m6_pmt_not_eng_equal_2_stg_pln_d0_amt_sum_rat,2,22.572599411010742,254
d360_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,2,22.527979850769043,255
d15_suc_ord_prc_amt_avg_all,2,22.187399864196777,256
ord_apl_sum_prc_amt_360_day_19_23,3,22.0530104637146,257
rsk_avl_lmt_ch_1m_les_10000_rate_6m,3,21.917209148406982,258
stg_pln_sum_rep_prc_his_d0_afn_zd_rto_v2,2,21.86900043487549,259
18m_repay_amt_second_der_mean_diff,3,21.6589093208313,260
d90_repaid_interest_fee_stddev,1,21.345600128173828,261
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,3,21.29650044441223,262
stddev_amt_event_type_repay_event_result_1_recent_180,3,21.18435001373291,263
d360_repaid_exclude_principal_fee_max,3,20.782129764556885,264
stddev_day_diff_shift1_event_type_repay_all,4,20.74419665336609,265
24stg_pln_repay_amt_second_der_avg,2,20.678249835968018,266
avg_ddf_rep_dte_ord_crt_tim_3,5,20.593650460243225,267
d360_repaid_interest_fee_max,4,20.550679683685303,268
3m_repay_amt_second_der_median,2,20.540210247039795,269
median_amt_event_result_1_all,4,20.442469596862793,270
d720_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,2,20.37082004547119,271
3stg_pln_repay_amt_first_der_median,3,20.36659049987793,272
12m_used_lmt_second_der_max,2,20.031509399414062,273
d360_apl_ord_prc_amt_per_stg_max,4,19.44764018058777,274
cnt_avg_ord_span_30d_90d,1,19.44499969482422,275
median_amt_other_info_auto_deduct_all,4,19.230419874191284,276
ord_apl_sum_prc_amt_180_day_07_12,2,19.186800003051758,277
12m_used_lmt_first_der_avg,3,19.088379621505737,278
d30_apl_ord_cnt_all,1,19.080799102783203,279
d90_max_due_prc_amt_divide_d90_max_faqi_prc_amt,2,18.586649894714355,280
percent_true_followup_code_other_call_mode_manual_180d,1,18.56439971923828,281
d1095_aplord_fal_month_cnt,2,18.543009757995605,282
m6_manual_tim_19_24_rep_apl_suc_cnt_rat,2,18.541630744934082,283
stg_pln_sum_prc_amt_ovd_pls_rep_bjq_12m_rto,3,18.355130195617676,284
d1080_max_adv_repay_amt_divide_d1080_max_faqi_prc_amt,2,18.299190521240234,285
6stg_pln_repay_amt_first_der_median,2,18.095499992370605,286
d30_d60_his_rep_amt_sum_rat_btch,2,18.065409660339355,287
sum_day_diff_shift1_event_type_loan_all,2,18.005160331726074,288
6m_used_lmt_second_der_mean_diff,3,17.612289667129517,289
stg_pln_max_prc_amt_adv_3d_bjq_12m,4,17.554109573364258,290
d30_suc_ord_prc_amt_sum_all,1,17.480499267578125,291
3m_used_lmt_first_der_max,2,17.09546947479248,292
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,2,17.066370010375977,293
m1_stg_pln_d0_rep_apl_cnt,2,17.051780223846436,294
d360_adv_repay_fee_sum_divide_d360_principal_sum,1,17.031099319458008,295
12m_used_lmt_first_der_small_0_sum,8,16.99704736471176,296
ddf_36m_rep_dte_neg_5_crt_dt_rep_prc_amt_rto,2,16.844930171966553,297
succloan_stage_num_mean_all,2,16.625919818878174,298
3m_used_lmt_first_der_sum,2,16.59918975830078,299
ord_apl_suc_sum_prc_amt_180_day_19_23,2,16.555749893188477,300
max_amt_event_type_repay_recent_60,2,16.488490104675293,301
18stg_pln_repay_amt_first_der_mean_rto,3,16.312010288238525,302
min_rsk_avl_lmt_3m_bt_ch,2,16.24323034286499,303
3m_repay_amt_second_der_mean_diff,2,16.138139724731445,304
stg_pln_avg_prc_amt_2m_ftr_his_rto_all,2,15.987639904022217,305
his_max_ovd_repay_amt_divide_his_max_suc_prc_amt,3,15.975910186767578,306
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,2,15.956559658050537,307
m6_stg_pln_rep_apl_cnt_d0_max,1,15.955499649047852,308
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,2,15.814129829406738,309
median_amt_channel_hb_microcredit_lv1_all,2,15.694729804992676,310
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,2,15.684869766235352,311
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,1,15.638199806213379,312
stg_pln_min_prc_amt_ftr,2,15.456310272216797,313
d90_apl_ord_prc_amt_avg,1,15.086600303649902,314
stg_pln_max_prc_amt_d0_rep_his_fst_ord,3,15.055760145187378,315
bf_q2_q1_trend,1,14.989500045776367,316
18ord_apply_amt_first_der_max,2,14.9315505027771,317
ftr_pending_repay_interest_fee_sum,1,14.597200393676758,318
credit_unique_fund_cnt_36m,2,14.515499591827393,319
d15_apl_ord_prc_amt_max,1,14.45989990234375,320
18m_used_lmt_first_der_mean_rto,2,14.42986011505127,321
m1_normal_batch_rep_apl_suc_amt_avg,1,14.383500099182129,322
18stg_pln_repay_amt_second_der_mean_rto,2,14.05197873711586,323
m3_pmt_not_eng_cnt_pday_mor_0_day_cnt,1,13.780200004577637,324
min_avl_lmt_lft_rep_prc_2m_cash_3m,1,13.624500274658203,325
d360_apl_ord_prc_amt_min,1,13.612799644470215,326
stg_pln_sum_rep_prc_his_d0_non_zd_v2,5,13.604609966278076,327
cnt_event_type_credit_event_result_1_all,4,13.593089938163757,328
last_event_type_day_diff_shift1_event_type_repay_all,1,13.547100067138672,329
stg_pln_max_prc_amt_adv_rep_his,2,13.507409811019897,330
m6_stg_pln_normal_batch_rep_apl_cnt_min,1,13.480500221252441,331
3m_used_lmt_first_der_median,2,13.3610098361969,332
max_amt_other_info_manual_repay,3,13.16599988937378,333
m6_rep_apl_suc_stg_pln_cnt_avg,1,13.100000381469727,334
rsi_af_1y_inter_1m,1,12.625,335
rsk_avl_lmt_ch_1m_les_5000_cnt_3m,1,12.507699966430664,336
3m_repay_amt_first_der_sum,1,12.435400009155273,337
stg_pln_min_prc_amt_6m_ftr,1,12.429200172424316,338
d90_apl_ord_prc_amt_per_stg_max,1,12.347000122070312,339
stg_pln_max_prc_amt_adv_rct_12m,1,12.127599716186523,340
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,2,12.079259872436523,341
light_d720_max_ontim_repay_amt_divide_heavy_d720_max_ontim_repay_amt,1,11.966300010681152,342
cnt_other_info_auto_deduct_uid_recent_days_540,2,11.804409980773926,343
credit_unique_fund_cnt_3m,1,11.775400161743164,344
m1_rep_apl_suc_stg_pln_cnt_max,1,11.765000343322754,345
stg_pln_sum_rep_prc_his_d0_afn_pk,2,11.521810054779053,346
rsk_avl_lmt_ch_les_10000_cnt_3m,1,11.48330020904541,347
12stg_pln_repay_amt_second_der_median,3,11.469619989395142,348
ord_apl_cnt_07_12,2,11.446639895439148,349
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,2,11.438210010528564,350
pmt_not_eng_stg_pln_cnt_3m_6m_rat,2,11.290550231933594,351
ddf_ato_fst_ord_crt_dte,3,11.193840146064758,352
18m_repay_amt_second_der_mean_rto,1,11.075599670410156,353
m3_rep_apl_fal_stg_pln_cnt_avg,1,11.069899559020996,354
d360_schedule_pay_penalty_max,1,10.609100341796875,355
