feature,non_null_rate,unique_count,drop_reason
max_ctn_ovd_day,1.0,65,
not_ovd_tqhk_rep_tim_cnt_12m,1.0,66,
ddf_mdl_max_not_ovd_tqhk_rep_tim_12m,0.19038,360,
ddf_mdl_max_con_not_ovd_tqhk_rep_tim_12m,0.05168,357,low_non_null_rate
max_con_not_ovd_tqhk_rep_tim_cnt_5m,1.0,19,
max_con_not_ovd_tqhk_rep_tim_cnt_12m,1.0,26,
not_ovd_tqhk_rep_tim_cnt_3m,1.0,25,
lag_his_rep_amt_sum_per_mth_btch_rat_mor_50_per_cnt,0.42404,5,
d30_d60_his_rep_amt_sum_rat_btch,0.48768,13245,
d90_d360_his_rep_amt_sum_rat_btch,0.48768,15917,
lag_his_rep_amt_sum_per_mth_all_rat_max,0.3952,16684,
lag_his_rep_amt_sum_per_mth_btch_rat_max,0.3883,16261,
m6_up_flg_btch_cnt_rat,0.42404,12,
d30_d180_his_rep_amt_sum_rat_all,0.48768,16207,
d30_his_rep_amt_sum_btch,0.48768,16450,
d180_d360_his_rep_amt_sum_rat_all,0.48768,15473,
min_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.53998,12589,
rsk_lmt_rate_ch_1m_grt_0p2_cnt_bjq_12m,0.5939,114,
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,0.5916,1860,
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,0.5939,139,
min_rsk_avl_lmt_bjq_12m_all,0.58898,9866,
max_rsk_lmt_rate_bjq_12m_all,0.58168,10344,
min_avl_lmt_lft_rep_prc_2m_cash_bjq_12m,0.53994,12729,
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,0.5916,1594,
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,0.5916,1781,
rsk_lmt_rate_ch_1m_grt_0p9_cnt_bjq_12m,0.5939,160,
min_rsk_lmt_rate_bjq_12m_all,0.58168,16118,
avg_avl_lmt_lft_rep_prc_all_cash_bjq_12m,0.53998,26148,
rsk_lmt_rate_ch_1m_grt_0p95_rate_bjq_12m,0.5916,1679,
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,0.5916,2141,
max_avl_lmt_lft_rep_prc_3m_cash_bjq_12m,0.53996,25667,
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,0.5939,240,
max_rsk_avl_lmt_bjq_12m_all,0.58898,21777,
stg_pln_sum_rep_prc_3m_his_d0_non_zd_rto_v2,0.34626,2686,
stg_pln_sum_rep_prc_1m_his_d0_evn_zd_rto_v2,0.31726,757,
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_zd_rto_v2,0.31726,34,
stg_pln_sum_rep_prc_1m_his_d0_afn_pk_rto_v2,0.31726,623,
stg_pln_sum_rep_prc_12m_his_ovd_0d_pls_3d_mrn_pk_rto_v2,0.45312,2939,
stg_pln_sum_rep_prc_12m_his_ovd_14d_pls_30d_zd_rto_v2,0.45312,192,
stg_pln_sum_rep_prc_1m_his_d0_afn_zd_rto_v2,0.31726,1500,
stg_pln_sum_rep_prc_3m_his_d0_afn_zd_rto_v2,0.34626,3714,
stg_pln_sum_rep_prc_1m_his_ovd_3d_pls_7d_zd_rto_v2,0.31726,201,
stg_pln_sum_rep_prc_6m_his_ovd_7d_pls_14d_afn_pk_rto_v2,0.3839,43,
stg_pln_sum_rep_prc_12m_his_ovd_3d_pls_7d_afn_pk_rto_v2,0.45312,151,
stg_pln_sum_rep_prc_6m_his_ovd_14d_pls_30d_afn_pk_rto_v2,0.3839,24,
stg_pln_sum_rep_prc_1m_his_ovd_14d_pls_30d_mrn_pk_rto_v2,0.31726,5,
stg_pln_sum_rep_prc_12m_his_ovd_m2_pls_zd_rto_v2,0.45312,11,
