feature,gain,split
d180_apl_ord_days_cnt,257599.5811395645,100
d360_apl_ord_ddf_mdl_ord_crt_dte_min,222628.34593188763,295
unpaid_principal_future_light_add_heavy,216904.91310572624,86
first_day_diff_event_result_1_all,119654.27907693386,177
his_360_day_csh_apl_ord_cnt_his_rto,71424.97697651386,88
d180_apl_ord_days_cnt_all,36352.430055618286,31
pge_id_cnt_90d,16902.269222438335,189
cnt_avg_ord_span_30d,10121.110627651215,46
d30_apl_ord_days_cnt,8528.530916690826,95
ord_apl_avg_prc_amt_720_day_per_mth,7991.131080031395,91
ddf_mdl_max_dau_dt_90d,5985.376090049744,246
min_rsk_lmt_rate_3m_bt_ch,5949.127724647522,71
clk_cnt_14d,5132.6685926914215,138
first_day_diff_event_result_0_event_type_loan_all,4516.729291409254,162
rsi_abf_1y_inter_1m,4472.686305522919,76
his_30d_app_str_ctn_v2,4451.8338351249695,153
rsk_avl_lmt_ch_les_10000_cnt_12m,4002.5173535346985,72
pst_ord_apl_suc_max_prc_amt_180_day,3894.2086758613586,21
avg_avl_lmt_lft_rep_prc_3m_cash_1m,3364.8902549743652,83
d180_apl_ord_cnt_all,3177.3421683311462,14
d360_max_faqi_prc_amt_divide_rsk_avl_lmt_cash,2833.870313167572,168
d180_ontimrepay_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,2499.3209919929504,105
d60_apl_ord_prc_amt_avg,2412.1429250240326,47
sum_avb_lmt_2m_v2,2251.2866315841675,133
rsk_lmt_rate_ch_1m_grt_0p2_rate_6m,2159.4953002929688,40
d180_apl_ord_ddf_mdl_ord_crt_dte_max,2146.0181109905243,103
min_rsk_lmt_rate_12m_bt_ch,2075.511399269104,71
ddf_ato_fst_ord_crt_dte,1814.9244389533997,151
cnt_avg_ord_span_30d_90d,1778.2784463763237,75
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,1690.0514664649963,83
d180_due_repay_amt_sum_divide_d180_faqi_trade_amt_sum,1645.2191143035889,55
ord_apl_fal_cnt_his,1619.7476511001587,110
rsk_lmt_rate_ch_1m_grt_0p8_rate_3m,1573.940104484558,42
d1080_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,1439.9401679039001,111
first_amt_event_type_credit_all,1439.4849743843079,119
af_q2_q1_trend,1435.180947303772,78
d7_d360_suc_ord_prc_amt_avg_rat_all,1367.1640157699585,77
d180_faqi_trade_amt_larger_than_rsk_avl_lmt_cash_his_t_day_count_sum,1353.8026819229126,43
per_event_type_limit_all,1353.4671432971954,131
d360_apl_ord_stg_num_sum_all,1353.2481253147125,38
ord_apl_min_prc_amt_his,1352.8644111156464,90
max_amt_other_info_manual_repay,1330.1447120308876,104
12m_used_lmt_second_der_sum,1328.5271165370941,108
d90_aplord_suc_month_cnt,1294.621250152588,22
