table_index,full_table_name,feature_name,feature_type,feature_comment,ordinal
1,local_feather,sample_row_num,large_string,,1
1,local_feather,uid,large_string,,2
1,local_feather,first_credit_time_by_btch,timestamp[ns],,3
1,local_feather,first_credit_law_type,large_string,,4
1,local_feather,sample_label,large_string,,5
1,local_feather,mdl_dte,timestamp[s],,6
1,local_feather,sample_split_tag,large_string,,7
1,local_feather,label,large_string,,8
1,local_feather,is_14_fq,int32,,9
1,local_feather,is_30_fq,int32,,10
1,local_feather,v1_score,double,,11
1,local_feather,rand_flag0,double,,12
1,local_feather,rand_flag1,double,,13
1,local_feather,rand_flag2,double,,14
1,local_feather,rand_flag3,double,,15
1,local_feather,rand_flag4,double,,16
1,local_feather,rand_flag5,double,,17
1,local_feather,credit_limit,double,,18
1,local_feather,loan_org_typ_bnk_non_dps_min_cur_ovd_amt_day_diff,float,,19
1,local_feather,loan_org_typ_bnk_non_dps_max_blc_day_diff,float,,20
1,local_feather,loan_org_typ_other_min_loan_amt_day_diff,float,,21
1,local_feather,loan_lon_typ_other_max_blc_day_diff,float,,22
1,local_feather,loan_act_typ_d1_min_loan_amt_day_diff,float,,23
1,local_feather,loan_card_stt_nor_and_act_typ_d1_min_schedule_pay_date_to_now,float,,24
1,local_feather,loan_lon_typ_other_max_loan_amt_day_diff,float,,25
1,local_feather,loan_act_typ_d1_min_cur_ovd_amt_day_diff,float,,26
1,local_feather,loan_act_typ_r4_min_cur_ovd_amt_day_diff,float,,27
1,local_feather,loan_act_typ_r1_max_blc_day_diff,float,,28
1,local_feather,loan_gur_typ_credit_max_loan_amt_day_diff,float,,29
1,local_feather,loan_org_typ_other_min_blc_day_diff,float,,30
1,local_feather,tnd_rsk_itm_m12_ecm_ptf_rat,float,,31
1,local_feather,tnd_rsk_itm_m1_oth_rat,float,,32
1,local_feather,tnd_rsk_itm_one_wek_ptf_apl,float,,33
1,local_feather,tnd_rsk_itm_7d_div_12m,float,,34
1,local_feather,tnd_rsk_itm_d7_oth_rat,float,,35
1,local_feather,tnd_rsk_itm_1m_div_12m,float,,36
1,local_feather,tnd_rsk_itm_m1_ptt_lon,float,,37
1,local_feather,tnd_rsk_itm_m12_ptt_lon,float,,38
1,local_feather,tnd_rsk_itm_6m_dif_3m,float,,39
1,local_feather,tnd_rsk_itm_m12_big_csm_fin_cmp,float,,40
1,local_feather,tnd_rsk_itm_3m_div_6m,float,,41
1,local_feather,tnd_rsk_itm_m1_oth,float,,42
1,local_feather,tnd_rsk_itm_m6_bnk_rat,float,,43
1,local_feather,ddf_1m_qry_avg_day_diff,float,,44
1,local_feather,tnd_rsk_itm_typ_m1_div_m6,float,,45
1,local_feather,ddf_36m_1d_continous_qry_cnt,float,,46
1,local_feather,tnd_rsk_itm_d7_oth,float,,47
1,local_feather,loan_gur_typ_other_min_cur_ovd_amt_day_diff,float,,48
1,local_feather,tnd_rsk_itm_d7_csm_rat,float,,49
1,local_feather,tnd_rsk_itm_m12_oth,float,,50
1,local_feather,tnd_rsk_itm_12m_dif_6m,float,,51
1,local_feather,ddf_36m_qry_avg_day_diff,float,,52
1,local_feather,loan_blc_y_sum_18p_mid_max,float,,53
1,local_feather,ddf_3m_qry_avg_day_diff,float,,54
1,local_feather,tnd_rsk_itm_m12_bnk,float,,55
1,local_feather,ddf_6m_qry_avg_day_diff,float,,56
1,local_feather,loan_org_typ_other_max_loan_amt_day_diff,float,,57
1,local_feather,tnd_rsk_itm_m12_ptt_lon_rat,float,,58
1,local_feather,tnd_rsk_itm_m6_oth_rat,float,,59
1,local_feather,sum_typ_orgnum,float,,60
1,local_feather,als_net_bank_sum_typ_orgnum_rte,float,,61
1,local_feather,als_least_id_nbank_nsloan_orgnum,float,,62
1,local_feather,als_cash_stage_sum_typ_orgnum_rte,float,,63
1,local_feather,als_m1_m1_m3_id_nbank_oth_orgnum_rte,float,,64
1,local_feather,als_licensed_net_loan_sum_typ_orgnum_rte,float,,65
1,local_feather,als_m3_m12_id_caon_allnum_rte,float,,66
1,local_feather,als_m3_m12_id_nbank_nsloan_allnum_rte,float,,67
1,local_feather,als_m3_m12_id_nbank_ca_allnum_rte,float,,68
1,local_feather,als_old_bank_sum_typ_allnum_rte,float,,69
1,local_feather,als_credit_card_sum_typ_allnum_rte,float,,70
1,local_feather,als_greast_id_nbank_finlea_orgnum,float,,71
1,local_feather,als_least_id_bank_ret_orgnum,float,,72
1,local_feather,als_m3_m12_id_nbank_cf_allnum_rte,float,,73
1,local_feather,als_m3_m6_m12_id_nbank_oth_orgnum_rte,float,,74
1,local_feather,als_m3_m6_m12_id_pdl_allnum_rte,float,,75
1,local_feather,als_m6_m12_id_nbank_nsloan_allnum_rte,float,,76
1,local_feather,als_m6_m6_m12_id_nbank_nsloan_orgnum_rte,float,,77
1,local_feather,als_m1_m3_id_nbank_oth_allnum_rte,float,,78
1,local_feather,als_m3_m12_id_nbank_cons_allnum_rte,float,,79
1,local_feather,als_m3_m12_id_pdl_orgnum_rte,float,,80
1,local_feather,als_m1_m1_m3_id_nbank_else_allnum_rte,float,,81
1,local_feather,als_m6_m12_id_nbank_allnum_rte,float,,82
1,local_feather,als_m3_m12_id_nbank_else_allnum_rte,float,,83
1,local_feather,als_m3_m6_m12_id_nbank_allnum_rte,float,,84
1,local_feather,als_m3_m12_id_nbank_oth_orgnum_rte,float,,85
1,local_feather,als_least_id_caon_orgnum,float,,86
1,local_feather,als_least_id_nbank_ca_orgnum,float,,87
1,local_feather,als_m1_m3_id_nbank_else_orgnum_rte,float,,88
1,local_feather,als_d15_m1_id_nbank_orgnum_rte,float,,89
1,local_feather,als_m1_m1_m3_id_pdl_allnum_rte,float,,90
1,local_feather,als_least_id_nbank_cons_orgnum,float,,91
1,local_feather,als_m6_m6_m12_id_nbank_oth_allnum_rte,float,,92
1,local_feather,als_least_id_nbank_else_orgnum,float,,93
1,local_feather,als_m3_m6_m12_id_nbank_cons_allnum_rte,float,,94
1,local_feather,als_other_allnum,float,,95
1,local_feather,als_least_id_nbank_sloan_orgnum,float,,96
1,local_feather,loan_future_36m_to_48m_xj_payment_max,float,,97
1,local_feather,als_m1_m1_m3_id_nbank_orgnum_rte,float,,98
1,local_feather,loan_repay_progress_mean_xd_act_pay,float,,99
1,local_feather,loan_future_12m_other_payment_mean,float,,100
1,local_feather,als_old_bank_sum_typ_orgnum_rte,float,,101
1,local_feather,loan_future_36m_to_48m_xd_payment_max,float,,102
1,local_feather,als_m3_m12_id_nbank_oth_allnum_rte,float,,103
1,local_feather,als_m6_m12_id_caon_allnum_rte,float,,104
1,local_feather,als_m3_m12_id_pdl_allnum_rte,float,,105
1,local_feather,loan_future_6m_to_9m_xj_payment_min,float,,106
1,local_feather,loan_future_9m_other_payment_mean,float,,107
1,local_feather,loan_future_12m_xj_payment_min,float,,108
1,local_feather,loan_future_36m_to_48m_xd_payment_sum,float,,109
1,local_feather,loan_future_36m_to_48m_other_payment_sum,float,,110
1,local_feather,loan_org_cnt_count_non_xxhb_360d,float,,111
1,local_feather,loan_loanamount_min_non_xxhb_360d,float,,112
1,local_feather,loan_future_48m_to_60m_xd_payment_max,float,,113
1,local_feather,sch_repay_60m_contin_non_de_mon_count,float,,114
1,local_feather,tot_org_ratio_720_fix_202502,float,,115
1,local_feather,loan_loanamount_min_non_xxhb,float,,116
1,local_feather,loan_loanamount_mean_xxhb_90d,float,,117
1,local_feather,loan_org_ratio_90_fix_202502,float,,118
1,local_feather,loan_balance_sum_non_xxhb_360d,float,,119
1,local_feather,tot_acct_ratio_720_fix_202502,float,,120
1,local_feather,loan_org_ratio_360_fix_202502,float,,121
1,local_feather,same_loan_price18_tot_balance_min,float,,122
1,local_feather,loan_alld_xfd_unique_org_count,float,,123
1,local_feather,sch_repay_count_num_6m_9m_mean_div_wave,float,,124
1,local_feather,loan_acct_ratio_180_fix_202502,float,,125
1,local_feather,loan_balance_mean_non_xxhb,float,,126
1,local_feather,loan_balance_max_xxhb_30d,float,,127
1,local_feather,loan_open_to_now_min_non_xxhb,float,,128
1,local_feather,loan_org_ratio_30_fix_202502,float,,129
1,local_feather,wjq_add_minupdate_qishu,float,,130
1,local_feather,jxhj_1d_should_pay_count,float,,131
1,local_feather,sch_repay_48m_contin_non_de_mon_count,float,,132
1,local_feather,loan_xhd_use_lmt_rate,float,,133
1,local_feather,loan_xfd_blc_hhi,float,,134
1,local_feather,sch_repay_24m_contin_non_de_mon_count,float,,135
1,local_feather,loan_720d_xfd_unique_org_count,float,,136
1,local_feather,loan_card_repay_min_count,float,,137
1,local_feather,sch_repay_count_num_12m_24m_mean_dif_wave,float,,138
1,local_feather,sch_repay_count_num_12m_24m_mean_div_wave,float,,139
1,local_feather,yq_city_maxupdate_days,float,,140
1,local_feather,ddf_48m_pcl_open_avg_day_diff,float,,141
1,local_feather,distinct_address_5y,float,,142
1,local_feather,als_m3_id_min_monnum,float,,143
1,local_feather,als_m1_id_nbank_allnum,float,,144
1,local_feather,als_m6_cell_nbank_nsloan_allnum,float,,145
1,local_feather,als_d7_id_nbank_oth_orgnum,float,,146
1,local_feather,als_m12_id_nbank_ca_allnum,float,,147
1,local_feather,als_m12_cell_nbank_cf_orgnum,float,,148
1,local_feather,als_d7_id_nbank_nsloan_orgnum,float,,149
1,local_feather,als_m1_cell_nbank_nsloan_allnum,float,,150
1,local_feather,als_m12_id_nbank_sloan_allnum,float,,151
1,local_feather,ddf_36m_pcl_open_avg_day_diff,float,,152
1,local_feather,als_m12_id_nbank_avg_monnum,float,,153
1,local_feather,als_m3_id_nbank_else_orgnum,float,,154
1,local_feather,als_m12_id_nbank_max_inteday,float,,155
1,local_feather,als_m12_id_max_inteday,float,,156
1,local_feather,als_lst_id_nbank_consnum,float,,157
1,local_feather,als_d15_id_nbank_oth_orgnum,float,,158
1,local_feather,als_m12_id_nbank_min_inteday,float,,159
1,local_feather,als_m12_id_bank_ret_allnum,float,,160
1,local_feather,als_m12_id_bank_avg_monnum,float,,161
1,local_feather,age,float,,162
1,local_feather,als_m12_cell_nbank_orgnum,float,,163
1,local_feather,als_m6_id_nbank_nsloan_allnum,float,,164
1,local_feather,als_m12_id_nbank_cf_allnum,float,,165
1,local_feather,als_d7_cell_nbank_nsloan_orgnum,float,,166
1,local_feather,als_d15_id_nbank_orgnum,float,,167
1,local_feather,als_d7_cell_nbank_oth_orgnum,float,,168
1,local_feather,als_lst_id_nbank_inteday,float,,169
1,local_feather,als_m6_id_nbank_ca_allnum,float,,170
1,local_feather,loan_act_typ_loan_amt_d1_min,float,,171
1,local_feather,qry_is_180d_qry_typ_qry_to_now_y_other_count,float,,172
1,local_feather,als_m12_id_bank_min_inteday,float,,173
1,local_feather,loan_tot_blc_tot_min,float,,174
1,local_feather,als_m12_cell_bank_avg_monnum,float,,175
1,local_feather,als_m6_id_nbank_min_monnum,float,,176
1,local_feather,loan_org_typ_loan_amt_other_mean,float,,177
1,local_feather,loan_org_typ_loan_amt_bnk_dps_min,float,,178
1,local_feather,qry_is_180d_qry_typ_qry_to_now_y_bnk_non_dps_count,float,,179
1,local_feather,loan_is_90d_loan_amt_y_mean,float,,180
1,local_feather,qry_tot_qry_to_now_tot_min,float,,181
1,local_feather,qry_is_360d_qry_to_now_y_min,float,,182
1,local_feather,loan_org_typ_loan_amt_other_sum,float,,183
1,local_feather,loan_is_360d_loan_amt_y_mean,float,,184
1,local_feather,qry_is_15d_qry_to_now_y_count,float,,185
1,local_feather,qry_is_360d_qry_typ_qry_to_now_y_other_min,float,,186
