,gain_importance
age,215
als_m6_cell_nbank_nsloan_allnum,109
wjq_add_minupdate_qishu,93
als_m12_cell_nbank_orgnum,91
qry_is_weekend_qry_to_now_y_min,88
tnd_rsk_itm_m12_ecm_ptf_rat,87
sch_repay_count_num_6m_9m_mean_div_wave,87
alltrade_within1mon_actualpay_sum,84
loan_card_if_high_credit_y_repay_amt_max,82
ddf_36m_qry_avg_day_diff,82
sch_repay_count_num_12m_24m_mean_dif_wave,82
yq_city_maxupdate_days,79
loan_org_typ_loan_amt_other_max,79
loan_stt_opn_to_now_clr_min,78
als_licensed_net_loan_sum_typ_orgnum_rte,77
qry_is_360d_qry_to_now_y_min,76
loan_card_active_user_y_sch_pay_max,76
loan_card_stt_opn_to_now_oth_min,75
loan_gur_typ_credit_repay_amt_max,74
loan_stt_nor_repay_amt_mean,74
loan_is_660d_1320d_opn_to_now_y_mean,74
loan_act_typ_d1_min_cur_ovd_amt_day_diff,73
loan_act_typ_opn_to_now_r1_mean,71
qry_is_900d_qry_rsn_qry_to_now_y_dk_max,71
cr_ely_tot_rec_mon_cnt,71
oth_rpy_amt_act_last,71
loan_future_24m_xj_payment_min_act_pay,70
qry_is_60d_qry_typ_qry_to_now_y_other_max,69
ddf_6m_qry_avg_day_diff,69
r1_alltrade_within1mon_actualpay_sum,68
lon_repay_12mth_clr_mean,67
loan_non_xxhb_cum_bias_act_pay,67
loan_card_if_high_credit_y_repay_amt_min,67
sch_repay_60m_contin_non_de_mon_count,67
ddf_48m_pcl_open_avg_day_diff,67
tot_org_ratio_720_fix_202502,67
als_m12_id_max_inteday,66
query_tot_org_ratio_360,66
loan_stt_opn_to_now_nor_mean,65
loan_future_12m_other_payment_mean,64
loan_card_active_user_y_repay_amt_sum,63
loan_is_120d_blc_y_min,63
cs_r2_6m_use_avg_lmt_ratio,62
qry_is_420d_qry_rsn_qry_to_now_y_other_max,62
tot_lvl_max_mon_cnt_1_60m,61
loan_card_xhd_is_365d_account_class_xyk_balance_max,61
tnd_rsk_itm_one_wek_ptf_apl,61
loan_xfd_blc_hhi,61
loan_r1_91_max_lmtamt,61
loan_xhd_use_lmt_rate,60
lon_repay_unkown_mean,60
loan_lon_typ_other_max_loan_amt_day_diff,60
lon_repay_12mth_neednot_mean,60
loan_lon_typ_other_sch_pay_mean,59
loan_loan_amt_3w_y_sch_pay_max,59
ddf_3m_qry_avg_day_diff,59
loan_card_high_use_loan_card_acct_cnt_ratio,59
loan_future_9m_to_12m_xxhb_payment_max_act_pay,58
loan_card_xhd_tot_loan_class_org_class_zdyh_xfd_edu_rate_min,58
cs_r2_6m_use_avg_lmt_diff,58
tnd_rsk_itm_m6_bnk_rat,58
als_credit_card_sum_typ_allnum_rte,58
als_d7_id_nbank_oth_orgnum,58
loan_gur_typ_credit_max_loan_amt_day_diff,57
loan_org_typ_loan_amt_bnk_dps_min,57
oth_rpy_amt_rate_mean,56
lon_repay_12term_total_mean,56
loan_alld_xfd_unique_org_count,56
lst_mon6_rpy_amt_act_max,56
loan_org_typ_bnk_non_dps_max_blc_day_diff,55
loan_card_xhd_tot_edu_level_account_state_medium_nor_edu_rate_mean,55
loan_is_210d_loan_amt_y_mean,55
loan_act_typ_loan_amt_3w_r1_n_repay_rate,55
als_other_allnum,54
loan_future_36m_to_48m_xj_payment_max,54
loan_card_xhd_is_365d_edu_level_low_balance_rate,54
loan_bank_cum_cv_act_pay,54
als_lst_id_nbank_inteday,54
qry_is_recent_660d_qry_typ_qry_to_now_y_other_max_dif_wave,54
loan_org_typ_other_min_loan_amt_day_diff,53
loan_consum_blc_amt_pct,53
loan_recent_660d_opn_to_now_sum_div_wave,53
tnd_rsk_itm_1m_div_12m,53
loan_recent_660d_opn_to_now_mean_div_wave,52
loan_future_12m_to_24m_bank_payment_min_act_pay,52
loan_lon_typ_other_max_blc_day_diff,52
loan_act_typ_r4_min_cur_ovd_amt_day_diff,52
loan_balance_mean_non_xxhb,52
sch_repay_24m_contin_non_de_mon_count,52
loan_card_xhd_tot_edu_level_loan_class_high_zdyh_edu_rate_mean,52
cr_ely_tot_rec_age,52
loan_org_typ_other_min_blc_day_diff,51
tnd_rsk_itm_m6_oth_rat,51
query_tot_org_ratio_180,51
loan_card_tot_1_loan_amt_sum,51
als_m3_m6_m12_id_nbank_oth_orgnum_rte,51
loan_card_xhd_tot_loan_class_zdyh_edu_rate_mean,51
loan_loanamount_min_non_xxhb_360d,51
loan_org_typ_bnk_non_dps_min_cur_ovd_amt_day_diff,51
qry_qry_typ_qry_to_now_bnk_non_dps_min,50
als_m1_id_nbank_allnum,50
r2r3_alltrade_within1mon_actualpay_sum,50
ddf_1m_qry_avg_day_diff,50
loan_recent_30d_blc_mean_dif_wave,50
loan_org_ratio_90_fix_202502,49
loan_card_stt_if_high_credit_nor_y_repay_amt_sum,49
loan_lon_typ_loan_amt_3w_other_y_repay_rate,48
loan_cus_opn_to_now_mean,48
als_m6_m6_m12_id_nbank_oth_allnum_rte,48
loan_future_3m_xj_payment_sum_act_pay,48
loan_micro_amt_min,48
qry_is_240d_qry_typ_qry_to_now_y_other_min,48
loan_act_typ_loan_amt_r1_min,48
als_m12_id_nbank_cf_allnum,48
loan_card_xhd_is_720d_loan_class_org_class_zdyh_xfd_edu_rate_mean,47
qry_is_recent_90d_qry_to_now_count_dif_wave,47
ddf_36m_pcl_open_avg_day_diff,47
loan_card_stt_nor_and_act_typ_d1_min_schedule_pay_date_to_now,47
qry_is_420d_qry_rsn_qry_to_now_y_dk_max,47
als_old_bank_sum_typ_allnum_rte,47
als_m1_m1_m3_id_nbank_oth_orgnum_rte,46
cr_ely_ccd_rec_age,45
loan_act_typ_loan_amt_d1_min,45
lst_mon6_rpy_amt_act_std,45
qry_is_recent_660d_qry_typ_qry_to_now_y_other_count_div_wave,45
loan_org_typ_loan_amt_bnk_non_dps_min,45
als_m3_m12_id_nbank_nsloan_allnum_rte,45
loan_recent_60d_blc_min_dif_wave,45
lon_repay_12term_nor_mean,45
loan_act_typ_d1_min_loan_amt_day_diff,45
loan_acct_ratio_180_fix_202502,45
loan_gur_typ_loan_amt_other_count,44
qry_is_recent_660d_qry_typ_qry_to_now_y_other_min_dif_wave,44
qry_is_150d_qry_rsn_qry_to_now_y_dk_count,44
qry_is_540d_qry_rsn_qry_to_now_y_dk_max,44
loan_gur_typ_other_min_cur_ovd_amt_day_diff,44
loan_card_xhd_tot_edu_level_org_class_low_xfd_edu_rate_max,44
qry_is_recent_720d_qry_typ_qry_to_now_y_other_max_dif_wave,44
loan_is_720d_used_ratio_y_sum,44
query_loan_acct_ratio_720,43
loan_cus_opn_to_now_min,43
lon_repay_3term_total_mean,43
loan_bank_blc_min,43
loan_is_90d_blc_y_max,43
als_m3_m12_id_caon_allnum_rte,43
loan_act_typ_r1_repay_amt_min,42
loan_loan_amt_3w_n_blc_sum,42
qry_qry_typ_qry_to_now_bnk_non_dps_count,42
als_m1_m1_m3_id_nbank_else_allnum_rte,42
loan_act_typ_r1_max_blc_day_diff,41
loan_act_typ_d1_sch_pay_min,41
tot_lvl_max_mon_cnt_1_24m,41
qry_is_180d_qry_rsn_qry_to_now_y_other_max,41
loan_future_48m_to_60m_xd_payment_max,41
qry_is_210d_qry_typ_qry_to_now_y_other_max,41
lst_stg24_rpy_amt_rate_max,41
loan_is_720d_loan_amt_y_min,41
als_m12_id_nbank_max_inteday,41
qry_is_recent_900d_qry_typ_qry_to_now_y_other_min_div_wave,40
loan_lon_typ_gur_typ_other_other_blc_sum,40
qry_is_330d_660d_qry_typ_qry_to_now_y_other_count,40
loan_card_xhd_is_180d_edu_level_low_balance_max,40
loan_card_xhd_tot_account_state_nor_edu_rate_mean,40
loan_is_120d_loan_amt_y_min,40
loan_card_xhd_tot_account_class_xhd_balance_max,40
als_m3_m12_id_nbank_cf_allnum_rte,40
loan_card_xhd_tot_edu_rate_label_high_balance_sum,39
ddf_18m_tqjq_avg_process,39
loan_loan_amt_3w_n_blc_mean,39
loan_act_typ_gur_typ_r1_credit_repay_rate,39
als_least_id_nbank_sloan_orgnum,39
loan_card_active_user_y_repay_amt_min,39
loan_is_270d_540d_blc_y_mean,39
balance_91_irr_less12,38
loan_card_xhd_is_365d_edu_level_loan_class_medium_xedk_edu_rate_max,38
loan_card_xhd_tot_account_class_currency_class_xyk_rmb_edu_rate_min,38
tnd_rsk_itm_m12_bnk,38
loan_is_30d_blc_y_max,38
loan_card_xhd_is_720d_edu_level_medium_balance_max,38
qry_is_150d_qry_to_now_y_min,38
lon_repay_3term_nor_pct,38
loan_card_xhd_tot_loan_class_account_state_xedk_nor_edu_rate_mean,37
tnd_rsk_itm_d7_csm_rat,37
qry_is_recent_150d_qry_typ_qry_to_now_y_other_count_div_wave,37
tnd_rsk_itm_m1_oth,37
loan_recent_720d_opn_to_now_sum_dif_wave,37
als_m3_m6_m12_id_nbank_allnum_rte,37
qry_is_recent_900d_qry_typ_qry_to_now_y_other_max_dif_wave,36
loan_open_to_now_min_non_xxhb,36
loan_card_xhd_is_180d_org_class_xfd_balance_max,36
qry_is_recent_120d_qry_typ_qry_to_now_y_other_count_div_wave,36
loan_card_xhd_is_720d_loan_class_xedk_balance_rate,36
loan_card_xhd_tot_edu_level_account_class_medium_xhd_edu_rate_max,36
als_least_id_bank_ret_orgnum,36
loan_card_xhd_is_365d_account_class_xhd_balance_rate,36
loan_card_xhd_tot_edu_level_org_class_high_xfd_edu_rate_min,35
loan_card_xhd_tot_edu_level_account_class_medium_xyk_edu_rate_max,35
als_least_id_nbank_nsloan_orgnum,35
als_m6_m12_id_caon_allnum_rte,35
d1r4_consumption91_within5yr_actualpay_max,35
als_m3_m12_id_pdl_orgnum_rte,35
als_m1_cell_nbank_nsloan_allnum,35
loan_card_xhd_tot_account_class_currency_class_xhd_rmb_edu_rate_max,34
loan_r1_91_max_within_halfyear_lmtamt,34
jxhj_1d_should_pay_count,34
als_m12_id_nbank_ca_allnum,34
loan_recent_360d_loan_amt_max_dif_wave,34
tnd_rsk_itm_m12_ptt_lon,34
als_m6_m12_id_nbank_nsloan_allnum_rte,33
als_d15_id_nbank_oth_orgnum,33
als_m12_id_nbank_sloan_allnum,33
loan_card_xhd_is_720d_edu_rate_label_low_balance_max,33
loan_dnclr_360d_price_min,33
als_least_id_nbank_ca_orgnum,33
loan_repay_progress_mean_xd_act_pay,33
tnd_rsk_itm_m12_ptt_lon_rat,33
qry_is_30d_qry_to_now_y_count,33
lon_repay_6mth_clr_mean,32
als_m1_m1_m3_id_nbank_orgnum_rte,32
loan_card_max_mon_cnt_1_60m,32
loan_card_xhd_tot_edu_level_org_class_high_xyk_edu_rate_std,32
loan_card_xhd_edu_level_low_is_720d_count,32
loan_card_active_user_n_act_pay_sum,32
same_loan_price18_tot_balance_min,32
loan_recent_720d_blc_count_div_wave,32
loan_loan_amt_3w_y_blc_min,31
qry_is_420d_840d_qry_rsn_qry_to_now_y_other_count,31
loan_lon_typ_other_blc_mean,31
als_m3_m12_id_nbank_oth_orgnum_rte,31
loan_entrust_opn_to_now_max,31
loan_gur_typ_loan_amt_other_mean,31
tot_lvl_cnt_n_24m,30
qry_is_recent_30d_qry_to_now_count_dif_wave,30
qry_is_90d_qry_typ_qry_to_now_y_other_count,30
als_m12_id_nbank_min_inteday,30
qry_is_recent_30d_qry_rsn_qry_to_now_y_other_count_div_wave,30
tnd_rsk_itm_typ_m1_div_m6,30
als_m6_m12_id_nbank_allnum_rte,30
loan_stt_lon_typ_nor_other_repay_rate,30
als_m3_m6_m12_id_pdl_allnum_rte,29
loan_nothousecar_price_max,29
als_m12_cell_nbank_cf_orgnum,28
loan_balance_sum_non_xxhb_360d,28
loan_future_36m_to_48m_other_payment_sum,28
loan_act_typ_gur_typ_r1_other_loan_amt_sum,28
als_m6_id_nbank_min_monnum,27
als_d7_cell_nbank_nsloan_orgnum,27
loan_card_stt_if_high_credit_nor_y_high_credit_blc_mean,27
als_m12_id_bank_min_inteday,27
loan_card_xhd_is_720d_account_class_loan_class_xyk_xedk_edu_rate_mean,27
loan_is_420d_blc_y_min,27
als_m12_cell_bank_avg_monnum,27
qry_is_120d_qry_typ_qry_to_now_y_bnk_non_dps_count,27
loan_card_xhd_tot_edu_level_medium_balance_rate,26
als_m3_m12_id_nbank_ca_allnum_rte,26
tnd_rsk_itm_m12_big_csm_fin_cmp,26
als_m12_id_bank_ret_allnum,26
tnd_rsk_itm_m1_ptt_lon,26
tnd_rsk_itm_6m_dif_3m,26
als_d15_id_nbank_orgnum,26
loan_card_xhd_is_180d_loan_class_xedk_balance_max,26
als_m3_m12_id_nbank_else_allnum_rte,25
lon_repay_12term_ovd_pct,25
qry_is_15d_qry_typ_qry_to_now_y_other_max,25
loan_card_xhd_is_180d_account_class_xhd_balance_rate,25
loan_card_xhd_edu_rate_label_low_tot_count,25
loan_card_xhd_is_365d_edu_level_account_state_high_nor_edu_rate_min,24
loan_card_xhd_tot_edu_level_org_class_medium_xfd_edu_rate_min,23
als_m3_m6_m12_id_nbank_cons_allnum_rte,23
loan_blc_y_sum_18p_mid_max,22
loan_is_15d_blc_y_sum,22
als_m1_m3_id_nbank_oth_allnum_rte,22
als_d15_m1_id_nbank_orgnum_rte,22
loan_card_xhd_is_180d_edu_level_account_class_high_xhd_edu_rate_min,22
loan_card_xhd_tot_edu_level_org_class_high_xyk_edu_rate_mean,22
loan_gur_typ_loan_amt_3w_other_n_repay_amt_sum,22
d1r4_alltrade_within5yr_overdue_sum,21
loan_card_xhd_tot_edu_level_account_class_high_xhd_edu_rate_min,21
loan_org_typ_other_max_loan_amt_day_diff,21
als_greast_id_nbank_finlea_orgnum,21
ddf_36m_1d_continous_qry_cnt,20
d1r4_consumption91_within12mon_actualpay_max,20
loan_loanamount_mean_xxhb_90d,20
als_m3_id_nbank_else_orgnum,19
ratio_repay_cc_720d,19
als_m1_m1_m3_id_pdl_allnum_rte,19
als_m1_m3_id_nbank_else_orgnum_rte,19
loan_card_repay_min_count,18
als_m3_m12_id_nbank_cons_allnum_rte,18
als_m6_m6_m12_id_nbank_nsloan_orgnum_rte,18
qry_is_15d_qry_to_now_y_max,18
oth_rpy_amt_rate_last,17
