_month,samples,positive,target_rate
2025-06,292673,130747,0.44673406839715313
2025-07,210039,104543,0.4977313736972657
2025-08,212554,109526,0.5152855274424382
2025-09,186839,96240,0.5150958846921682
2025-10,147598,78310,0.5305627447526389
2025-11,146024,74428,0.5096970361036542
2025-12,109166,53966,0.4943480570873715
2026-01,101587,50676,0.49884335594121293
2026-02,76463,39694,0.5191268979767992
2026-03,70344,36026,0.5121403389059479
2026-04,50202,28108,0.5598980120313932
2026-05,50316,27331,0.5431870577947373
